Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
161	6.60	0.83	210460	55	108.02
162	6.68	0.84	209995	55	106.50
161	6.65	0.84	210442	55	106.62
162	6.67	0.83	210588	55	106.69
165	6.78	0.81	217577	55	107.47
155	6.53	0.74	225628	55	106.00
155	6.63	0.73	225292	55	105.96
154	6.72	0.73	225887	55	105.88
154	6.70	0.73	226120	55	105.84
153	6.67	0.72	226101	55	105.88
153	6.69	0.73	226208	55	105.80
152	6.43	0.72	226891	55	105.97
153	6.50	0.73	226454	54	105.92
153	6.47	0.72	226293	55	105.94
153	6.49	0.72	226508	55	105.87
153	6.48	0.73	226354	54	105.91
153	6.48	0.72	226570	55	105.88
153	6.50	0.73	225975	55	105.97
152	6.46	0.72	226415	54	105.86
153	6.48	0.72	226465	55	105.93
153	6.51	0.73	226281	55	105.88
153	6.50	0.73	226316	55	105.87
153	6.48	0.73	226549	55	105.92
153	6.51	0.72	226322	55	105.94
154	6.54	0.73	226242	55	105.92
153	6.49	0.73	226137	54	105.98
153	6.48	0.72	226497	55	105.92
153	6.50	0.73	226055	55	106.08
154	6.54	0.73	226221	55	105.82
153	6.50	0.72	226243	55	105.97
154	6.48	0.73	226860	55	106.07
153	6.44	0.72	227349	54	106.04
154	6.45	0.73	227503	55	106.07
153	6.41	0.72	227411	55	105.96
153	6.45	0.73	227390	55	106.00
152	6.41	0.72	227518	54	105.85
153	6.42	0.73	227421	54	106.03
153	6.43	0.72	227335	55	106.05
153	6.42	0.72	227552	55	106.04
153	6.43	0.73	227310	55	106.15
153	6.42	0.72	227473	55	106.13
155	6.51	0.73	227221	54	106.73
153	6.26	0.73	227776	55	106.00
152	6.24	0.73	227907	55	106.06
153	6.25	0.72	227846	54	106.15
153	6.26	0.73	227546	55	106.09
153	6.22	0.73	227760	55	106.26
153	6.24	0.73	227456	55	106.12
153	6.24	0.73	227406	55	106.17
153	6.25	0.73	227289	55	106.08
152	6.20	0.73	227976	54	106.10
152	6.20	0.73	227933	55	106.08
153	6.25	0.73	227549	54	106.22
152	6.22	0.73	227823	55	106.21
152	6.22	0.73	227698	55	106.14
152	6.21	0.73	227894	54	106.13
153	6.22	0.73	227838	55	106.07
153	6.24	0.73	227596	54	106.14
153	6.24	0.73	227763	55	106.00
152	6.23	0.73	227441	55	106.02
152	6.21	0.73	227892	55	106.13
152	6.20	0.73	227559	55	105.97
154	6.34	0.73	227467	55	106.19
153	6.28	0.73	227987	54	106.03
153	6.26	0.72	228251	55	106.02
154	6.30	0.73	227615	55	105.99
153	6.22	0.73	227666	55	105.97
153	6.24	0.73	227739	54	106.05
153	6.26	0.73	227849	55	106.09
151	6.38	0.73	227414	55	105.90
155	6.51	0.74	226598	54	105.99
160	6.44	0.74	225069	55	107.60
175	7.11	0.80	221734	55	108.01
181	7.50	0.83	220155	55	108.11
174	7.18	0.80	221709	55	107.48
172	7.05	0.80	222158	55	107.71
172	7.10	0.80	221873	55	107.55
171	6.99	0.79	222485	55	107.89
173	7.09	0.80	221899	55	107.82
172	7.01	0.79	221951	55	107.88
172	7.01	0.79	222156	55	107.30
172	7.08	0.80	221957	55	107.82
172	7.15	0.80	221915	55	107.19
171	6.96	0.79	222553	55	107.44
173	7.06	0.80	222053	55	107.54
171	7.07	0.79	221752	55	106.82
172	7.08	0.80	221918	55	107.48
174	7.07	0.80	221983	55	108.07
171	7.01	0.79	222306	55	107.71
172	6.98	0.79	221642	55	108.07
171	7.01	0.80	222378	55	107.72
171	7.01	0.80	222332	55	107.28
171	6.96	0.79	222442	55	107.48
171	7.02	0.80	222367	55	107.19
172	6.95	0.80	222467	55	108.09
172	6.99	0.80	222280	55	107.84
171	6.96	0.80	222151	54	108.10
171	6.92	0.79	222223	55	108.27
173	7.25	0.79	221573	55	106.54
171	7.09	0.79	222113	55	107.53
171	6.97	0.79	222244	55	107.86
172	6.98	0.80	222260	55	108.33
172	7.13	0.80	222286	55	107.76
173	7.11	0.80	222067	55	107.91
172	7.04	0.80	221870	55	107.49
172	6.99	0.80	221979	55	107.93
171	6.97	0.79	222406	55	107.68
173	7.13	0.80	221852	55	107.40
171	6.99	0.80	222074	55	106.64
172	6.99	0.79	222148	54	108.34
171	7.05	0.79	222329	55	107.68
171	7.07	0.79	222191	55	107.25
171	6.98	0.79	222298	55	107.43
171	7.00	0.79	222113	55	107.57
172	7.03	0.80	221885	55	107.62
171	7.17	0.79	221222	55	107.57
172	7.11	0.79	222147	55	107.71
172	7.12	0.79	222093	55	107.49
173	7.21	0.80	221747	55	107.51
171	6.85	0.80	222827	55	108.45
172	6.89	0.80	222619	55	108.40
171	6.96	0.80	222142	55	107.99
171	6.96	0.79	222532	55	107.89
171	6.86	0.79	222785	55	108.53
172	7.03	0.80	221949	55	107.59
171	6.88	0.79	222554	55	108.36
173	6.93	0.79	222516	55	108.50
173	6.85	0.79	222284	55	108.29
171	7.00	0.79	222178	55	107.71
171	6.91	0.79	222299	55	108.30
172	6.96	0.80	222395	55	108.59
172	6.94	0.79	222366	55	108.27
171	6.93	0.80	222616	55	107.91
170	6.92	0.80	222592	55	107.89
171	7.05	0.80	222729	55	107.83
170	6.81	0.79	223151	55	108.13
172	7.08	0.80	222604	55	107.62
165	6.54	0.82	216126	55	108.36
158	6.31	0.82	212755	55	107.62
160	6.39	0.83	212522	55	107.93
160	6.37	0.83	212193	55	108.18
160	6.26	0.83	212454	55	107.95
161	6.28	0.83	212460	55	108.27
158	6.28	0.83	212402	55	107.41
160	6.37	0.83	212093	55	107.45
159	6.32	0.83	212340	55	107.55
160	6.48	0.83	212262	55	107.41
161	6.41	0.82	211875	55	107.33
161	6.27	0.82	212350	55	107.60
161	6.24	0.83	212458	55	107.76
161	6.25	0.83	212332	55	107.83
160	6.25	0.82	212343	55	107.86
161	6.31	0.82	212187	55	108.04
160	6.20	0.82	212302	55	108.24
169	6.58	0.80	219584	55	108.46
173	6.74	0.79	222381	55	108.72
172	6.75	0.79	222607	55	108.52
172	6.79	0.79	222942	55	108.54
173	6.93	0.79	222712	55	108.27
172	6.92	0.80	222202	55	108.17
173	7.11	0.80	221660	55	107.56
170	6.90	0.79	222926	55	108.05
173	6.93	0.80	222677	55	108.71
172	6.97	0.80	222062	55	108.26
172	6.89	0.80	222797	55	108.70
171	6.89	0.80	222677	55	108.55
172	6.91	0.79	222681	55	108.57
171	6.88	0.79	221846	55	108.68
171	6.90	0.79	222630	55	108.36
171	6.88	0.80	222560	56	108.28
172	6.95	0.80	222325	55	108.04
171	6.90	0.80	222650	55	108.28
172	6.92	0.79	222715	55	108.53
173	6.94	0.80	222331	55	108.65
171	7.07	0.79	222008	55	107.63
173	7.12	0.80	221653	55	107.97
172	7.10	0.79	222195	55	107.72
156	6.33	0.73	226362	55	107.72
153	6.37	0.72	226798	55	106.26
154	6.32	0.72	226714	55	106.25
154	6.32	0.72	226668	55	106.28
153	6.33	0.72	226798	55	106.26
147	5.87	0.70	229674	55	106.66
139	5.38	0.67	232415	55	106.74
141	5.53	0.67	186553	55	106.77
