Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
186	7.42	0.84	219327	56	108.58
186	7.35	0.84	220039	55	109.21
185	7.31	0.84	220465	56	108.94
186	7.50	0.84	220553	56	108.66
186	7.73	0.84	220074	56	107.21
188	7.56	0.84	220335	56	109.05
187	7.54	0.84	220464	56	108.82
186	7.60	0.84	220097	56	108.00
185	7.80	0.84	220052	55	107.11
185	7.97	0.84	219810	55	107.36
184	7.88	0.84	220138	55	107.24
186	7.56	0.84	220988	55	108.76
186	7.78	0.85	220702	56	107.99
185	7.65	0.85	220521	56	108.32
186	7.88	0.85	220350	55	107.00
185	7.67	0.85	220808	55	108.66
185	7.78	0.85	220821	55	107.87
185	7.68	0.85	220565	55	108.56
185	7.59	0.85	220753	55	108.63
186	7.56	0.85	221049	55	108.77
186	7.79	0.85	220986	55	107.80
186	7.73	0.84	220213	56	107.83
186	7.79	0.84	220137	55	107.53
186	7.75	0.84	219951	55	107.96
186	7.81	0.84	219957	55	107.29
186	7.83	0.84	219059	55	107.95
186	7.61	0.84	219748	55	108.89
185	7.77	0.84	219268	55	107.47
186	7.66	0.84	219608	56	108.47
187	7.68	0.84	219454	55	108.53
185	7.73	0.85	220605	56	108.55
186	7.77	0.85	220622	55	108.66
187	7.67	0.84	220351	55	108.56
186	7.56	0.84	219697	56	108.34
187	7.59	0.84	219275	56	108.64
186	7.64	0.84	220562	55	108.48
186	7.73	0.85	220775	56	108.01
186	7.85	0.84	220169	55	108.58
186	7.74	0.85	220591	56	108.46
185	7.88	0.85	220398	56	107.70
185	7.63	0.85	220310	55	107.91
188	7.67	0.84	219700	55	109.16
187	7.74	0.84	219653	55	108.33
187	7.81	0.84	219523	56	107.99
185	7.63	0.84	219859	55	108.44
186	7.60	0.84	219183	55	108.57
186	7.76	0.84	219606	56	108.00
186	7.69	0.84	219632	56	108.43
186	7.80	0.84	219537	56	107.56
185	7.73	0.84	219339	55	107.13
187	7.76	0.84	219685	55	107.91
187	7.69	0.84	219707	56	108.60
187	7.70	0.84	219940	55	108.46
186	7.57	0.84	219968	56	108.58
186	7.84	0.84	219929	55	107.11
186	7.81	0.84	220133	56	107.72
187	7.67	0.84	220137	55	108.66
185	7.63	0.84	219981	56	108.08
185	7.76	0.84	219816	56	107.03
185	7.62	0.84	220259	55	107.99
186	7.66	0.84	220111	56	108.04
186	7.64	0.85	220077	56	108.35
187	7.69	0.84	220057	56	108.70
186	7.94	0.84	219277	55	106.96
185	7.68	0.84	220071	56	108.28
185	7.63	0.84	220084	55	107.76
185	7.93	0.84	219274	56	107.03
185	7.79	0.85	220090	55	107.50
185	7.82	0.84	220106	56	107.49
186	7.92	0.84	219295	55	107.03
187	7.53	0.84	220132	55	109.04
187	7.60	0.84	219867	55	108.57
187	7.58	0.84	220024	55	108.50
186	7.56	0.84	220052	56	108.57
187	7.60	0.84	219990	55	108.30
186	7.51	0.84	220262	56	108.40
185	7.43	0.84	220509	56	108.78
186	7.49	0.84	220544	56	108.79
185	7.83	0.84	219393	56	107.42
186	7.47	0.84	220624	56	108.95
185	7.49	0.85	220473	55	108.69
186	7.52	0.84	220417	56	108.68
185	7.60	0.84	220080	55	107.83
184	7.47	0.84	220392	56	108.53
185	7.62	0.84	219646	56	108.17
186	7.75	0.84	219499	56	107.06
185	7.67	0.84	219905	55	107.34
187	7.39	0.84	220463	55	109.01
187	7.63	0.84	220282	55	108.14
185	7.65	0.84	219917	56	107.55
185	7.54	0.84	220373	55	108.25
185	7.66	0.84	220013	55	107.69
186	7.55	0.84	220334	55	108.43
185	7.60	0.84	220018	56	107.81
185	7.54	0.84	220684	55	108.76
186	7.51	0.84	220572	56	108.66
186	7.49	0.84	220664	56	108.80
183	7.84	0.84	219699	56	107.03
185	7.62	0.84	220219	56	108.14
185	7.47	0.84	220467	55	108.78
186	7.63	0.84	219983	55	108.27
187	7.57	0.84	220229	55	108.98
187	7.62	0.84	220161	56	108.43
187	7.55	0.84	220052	55	108.68
186	7.46	0.84	220018	55	108.90
186	8.02	0.84	219060	56	107.37
186	8.07	0.84	219141	55	106.94
184	7.99	0.85	219901	56	107.13
184	7.81	0.84	219430	55	107.81
186	7.69	0.84	219951	56	108.82
186	7.86	0.84	219931	55	108.22
186	7.81	0.84	219907	56	107.95
186	7.82	0.84	219760	55	107.52
186	7.65	0.83	220020	56	108.36
185	7.69	0.84	220024	55	108.13
185	7.72	0.84	219841	55	108.22
186	7.67	0.83	219966	55	108.67
188	7.70	0.83	220015	56	109.07
187	7.80	0.82	220231	55	107.62
186	7.93	0.83	220143	56	107.12
186	8.11	0.82	219794	55	107.09
153	6.19	0.72	229256	56	107.43
140	5.78	0.68	232159	56	106.09
140	5.76	0.68	232144	56	106.06
138	5.71	0.69	232125	56	106.11
138	5.70	0.68	232222	56	106.02
138	5.71	0.68	232266	56	105.88
139	5.69	0.67	232382	56	105.95
139	5.74	0.67	232126	55	106.01
140	5.63	0.68	232322	56	106.90
140	5.76	0.68	114750	56	105.98
