Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
143	5.69	0.77	215898	55	106.91
147	5.85	0.78	213638	55	106.39
145	5.78	0.78	215085	55	106.18
144	5.83	0.78	215243	54	105.97
146	5.79	0.78	216012	55	106.19
146	5.70	0.77	216419	54	106.11
145	5.66	0.77	216875	55	106.07
144	5.73	0.78	216210	55	106.70
144	5.66	0.77	217050	55	106.42
144	5.72	0.78	216307	55	106.59
146	6.00	0.78	215942	55	106.46
144	5.92	0.76	216135	55	106.21
144	5.82	0.78	216600	55	106.23
145	5.83	0.78	215823	55	106.51
142	5.87	0.77	216393	55	105.27
144	5.95	0.78	215872	55	105.83
146	6.13	0.78	215295	54	105.45
143	6.00	0.77	216351	54	105.28
144	6.08	0.78	215445	54	105.25
145	6.12	0.78	215369	54	105.37
143	5.84	0.77	216369	54	105.67
145	5.66	0.77	215895	54	106.67
146	5.68	0.77	216115	54	106.86
144	5.67	0.77	216281	54	106.58
145	5.98	0.77	215199	55	106.19
145	5.87	0.77	215231	54	105.82
144	5.73	0.76	216175	55	106.75
145	5.93	0.77	215437	54	106.02
144	6.04	0.77	215956	55	105.37
144	5.99	0.77	215789	54	105.93
143	5.91	0.77	216597	54	106.34
144	5.71	0.77	216271	54	106.60
145	5.74	0.77	215986	55	106.50
146	5.83	0.77	214808	54	106.61
144	5.72	0.77	216089	54	106.36
144	5.76	0.77	215882	55	106.66
145	5.96	0.78	216091	54	106.74
144	5.98	0.77	216119	55	106.42
143	6.06	0.78	216176	55	105.42
145	6.14	0.78	215309	54	105.43
143	5.95	0.77	216467	55	105.88
146	5.98	0.78	215639	55	106.51
145	5.91	0.77	216235	54	106.53
144	5.91	0.77	216267	55	106.46
144	5.89	0.77	216518	55	106.47
143	5.90	0.77	216429	54	106.64
144	5.90	0.77	216145	55	106.68
144	5.94	0.78	215804	55	106.86
145	5.99	0.78	215604	55	106.78
144	5.94	0.78	215832	55	106.63
144	6.10	0.78	215812	55	105.46
143	6.14	0.78	215780	55	105.42
144	6.09	0.78	216134	54	105.47
144	6.05	0.77	215483	55	105.83
145	6.03	0.78	215932	55	106.43
143	5.96	0.77	216204	55	106.37
145	6.03	0.78	215613	55	106.46
145	6.11	0.78	215718	55	105.93
144	6.08	0.78	216039	55	105.54
145	6.06	0.78	215610	54	106.01
145	6.03	0.77	215012	54	105.56
145	6.01	0.77	215287	55	105.62
146	6.02	0.77	215194	55	106.20
145	5.99	0.77	215652	55	105.53
145	5.98	0.76	215267	55	105.93
147	6.07	0.77	215146	55	105.77
146	6.01	0.77	215348	55	106.24
145	5.97	0.77	215298	55	106.31
146	6.04	0.77	215159	55	105.95
145	5.99	0.77	215485	55	105.51
144	5.93	0.76	215896	55	105.98
145	5.97	0.77	215689	54	106.06
145	5.98	0.77	215407	55	106.27
145	6.00	0.77	215259	55	105.31
145	5.96	0.77	215596	55	105.84
145	5.94	0.76	215973	55	106.19
147	6.03	0.77	214987	55	106.14
146	6.03	0.77	215256	55	105.54
144	5.96	0.76	215603	55	105.54
145	5.97	0.77	215534	55	105.98
145	6.04	0.78	215616	55	105.96
144	5.99	0.78	216069	54	106.37
144	6.02	0.77	215452	55	106.28
144	6.02	0.78	216093	55	106.00
143	5.99	0.78	216041	55	105.88
145	6.01	0.78	215872	55	105.85
144	5.94	0.78	216462	54	105.51
143	5.90	0.77	216413	55	105.53
144	6.02	0.78	216055	55	105.72
142	6.01	0.77	216162	55	105.19
143	6.05	0.77	216154	55	105.35
144	6.09	0.77	215983	54	105.21
135	5.67	0.73	219221	55	105.20
135	5.61	0.73	219501	55	105.18
134	5.62	0.73	219567	54	105.03
131	5.42	0.71	221020	55	105.10
127	5.15	0.70	222145	55	104.92
128	5.13	0.70	151813	55	104.97
