Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
189	7.76	0.78	188159	51	109.10
189	7.79	0.78	188055	51	107.81
189	7.91	0.78	187933	51	107.78
188	7.77	0.79	188510	51	108.05
187	7.79	0.79	188616	51	107.71
189	8.05	0.78	188124	51	107.17
189	8.01	0.78	188486	51	107.42
187	7.81	0.79	188328	51	107.54
189	8.00	0.78	188560	51	107.29
187	7.88	0.78	188103	51	107.49
189	7.96	0.78	188712	51	107.45
186	8.03	0.79	188008	51	106.63
186	8.05	0.79	188413	51	106.73
189	8.04	0.78	188156	50	106.86
189	8.07	0.78	187457	51	106.76
188	8.02	0.79	188533	51	106.80
187	7.92	0.79	188652	51	106.86
187	7.90	0.79	188080	51	106.68
188	7.79	0.78	188657	51	106.76
189	7.84	0.78	189088	51	106.78
188	7.81	0.79	188987	51	106.86
188	7.79	0.78	188478	51	106.77
188	7.80	0.78	188851	51	106.83
188	7.79	0.78	188911	51	106.81
188	7.95	0.79	188536	51	106.85
188	7.93	0.79	187954	51	106.76
189	8.04	0.79	187189	51	106.77
189	8.07	0.78	187264	51	107.33
188	8.14	0.79	187269	51	106.44
187	8.16	0.79	187637	51	106.98
187	8.14	0.79	188051	50	107.07
187	8.15	0.79	187086	51	106.77
187	7.95	0.78	187335	51	106.71
188	8.02	0.78	187971	50	107.06
188	8.00	0.79	188191	50	106.66
187	7.87	0.78	187574	50	106.96
187	7.90	0.78	187300	51	106.65
188	7.97	0.78	187325	51	107.55
187	7.96	0.79	188409	51	106.94
187	7.92	0.79	187441	51	107.26
187	7.94	0.78	188072	50	106.34
186	7.92	0.78	187007	51	106.59
188	7.94	0.79	188193	50	106.05
188	8.01	0.79	188367	50	106.07
188	8.01	0.78	188656	51	106.20
188	8.02	0.79	187355	51	106.64
188	7.98	0.79	188489	50	106.48
185	7.99	0.79	187140	50	106.52
186	7.99	0.79	188065	50	106.17
186	7.90	0.78	188241	50	106.14
188	7.94	0.78	188306	51	106.15
188	7.96	0.79	187429	50	106.91
186	7.97	0.79	187238	50	106.68
187	7.95	0.78	187880	50	106.46
187	7.93	0.79	187490	50	106.46
187	7.89	0.79	188097	50	106.23
187	7.94	0.79	187508	50	106.36
188	7.96	0.78	187125	51	106.23
188	7.83	0.78	187527	50	106.73
188	8.04	0.78	188361	50	106.19
189	7.94	0.78	187546	50	106.62
189	7.87	0.78	188820	50	106.34
188	7.86	0.77	189374	50	106.24
