Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
148	14.85	0.92	160596	44	93.11
148	14.87	0.93	159448	44	92.81
148	14.82	0.92	159941	44	92.95
147	14.73	0.93	161286	44	92.65
150	15.04	0.92	161519	44	93.15
147	14.77	0.92	161138	44	92.86
153	15.32	0.94	161405	44	93.03
174	17.37	0.91	163559	44	94.02
173	17.34	0.91	161398	44	93.57
171	17.15	0.91	163524	44	93.77
159	15.98	0.92	160757	44	92.89
153	15.30	0.92	158863	44	93.07
149	14.94	0.93	159799	44	92.72
148	14.85	0.93	161286	44	92.75
147	14.79	0.93	160842	44	92.71
148	14.82	0.93	161089	44	92.79
147	14.77	0.93	160556	44	92.69
154	15.49	0.95	161206	44	92.94
178	17.82	0.91	163812	44	93.28
174	17.49	0.91	163472	44	93.45
177	17.70	0.91	163468	44	93.26
175	17.57	0.91	162919	44	93.30
165	16.57	0.92	160356	44	92.80
156	15.63	0.93	161826	44	92.95
151	15.15	0.94	160755	44	92.66
151	15.18	0.94	160811	44	92.64
151	15.13	0.94	161310	44	92.90
151	15.15	0.94	161041	44	92.73
152	15.18	0.94	161664	44	92.85
157	15.75	0.95	161665	44	93.08
178	17.89	0.92	162445	44	93.72
178	17.80	0.92	163484	44	93.35
178	17.79	0.92	163641	44	93.34
177	17.78	0.92	163748	44	93.30
180	18.00	0.91	162259	44	93.37
174	17.44	0.92	161973	44	92.90
164	16.40	0.93	161488	44	92.92
155	15.57	0.94	161036	44	92.61
154	15.42	0.94	160527	44	92.78
156	15.65	0.93	159642	44	92.76
154	15.48	0.94	160459	44	92.75
154	15.48	0.94	160046	44	92.55
159	15.94	0.94	161029	44	92.65
157	15.73	0.94	161261	44	92.94
184	18.38	0.91	162160	44	93.79
186	18.65	0.91	162183	44	93.68
182	18.30	0.92	163802	44	93.65
183	18.30	0.92	162755	44	93.77
183	18.36	0.92	163309	44	93.73
183	18.33	0.92	163020	44	93.44
172	17.27	0.92	161922	44	92.78
162	16.26	0.93	162169	44	92.84
158	15.83	0.94	160759	44	92.57
158	15.85	0.94	160861	44	92.69
158	15.91	0.93	160751	44	92.44
158	15.86	0.94	161070	44	92.81
158	15.85	0.94	160855	44	92.79
165	16.50	0.95	161467	44	92.92
187	18.76	0.91	160455	44	93.57
186	18.63	0.91	160710	44	93.73
186	18.67	0.91	161898	44	93.53
188	18.82	0.91	161494	44	93.49
187	18.77	0.91	162594	44	93.34
189	18.95	0.91	163018	44	93.41
189	18.87	0.90	161028	44	93.67
185	18.58	0.91	160628	44	93.34
170	17.03	0.93	161693	44	92.79
162	16.27	0.94	160651	44	92.95
161	16.19	0.93	158417	44	92.69
162	16.23	0.93	158575	44	92.90
161	16.14	0.94	159509	44	92.83
161	16.16	0.94	160453	44	92.70
165	16.51	0.94	158847	44	92.81
167	16.69	0.95	160251	44	92.72
243	12.16	0.84	197385	46	111.49
281	9.71	0.82	216028	46	120.64
266	9.25	0.81	222869	46	119.23
205	7.49	0.85	221891	47	110.12
196	7.22	0.86	220317	46	108.71
195	7.18	0.85	220077	46	108.69
195	7.19	0.86	220414	47	108.64
196	7.21	0.85	220027	47	109.00
195	7.20	0.85	220088	47	108.63
206	7.53	0.86	220658	47	109.78
188	18.80	0.92	162952	44	93.88
187	18.76	0.91	162464	45	93.88
187	18.77	0.91	162857	45	93.67
187	18.70	0.92	163127	44	93.85
187	18.71	0.91	162454	45	94.13
188	18.79	0.91	161143	45	94.02
188	18.87	0.91	161367	45	93.77
188	18.81	0.92	163413	45	93.89
169	16.93	0.93	162339	45	93.13
162	16.25	0.94	160697	44	92.60
162	16.18	0.94	158640	45	92.86
163	16.34	0.93	158109	44	92.72
163	16.31	0.93	159267	44	92.79
162	16.20	0.94	158315	45	92.94
164	16.44	0.94	159248	44	92.43
169	16.90	0.95	160133	45	93.09
194	19.44	0.92	162494	44	93.84
190	19.10	0.92	162995	44	93.86
191	19.16	0.92	162977	44	94.07
192	19.30	0.92	162219	45	93.79
191	19.12	0.92	162508	44	93.76
190	19.08	0.92	162458	45	93.66
188	18.84	0.92	158258	44	93.81
188	18.87	0.94	149271	44	94.03
172	17.28	0.94	150550	44	93.21
164	16.43	0.95	149581	44	92.77
160	16.01	0.95	147609	45	92.68
154	15.46	0.94	148953	44	92.63
111	11.16	0.74	161576	44	90.95
111	11.13	0.74	161631	45	90.97
111	11.16	0.74	161920	44	90.97
119	11.94	0.77	161623	44	91.29
151	15.12	0.74	29226	44	92.77
