Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
155	15.52	0.94	161253	45	93.39
183	18.31	0.91	160715	44	93.76
185	18.55	0.91	161142	44	93.59
183	18.37	0.91	161085	44	93.77
183	18.36	0.91	161960	44	94.05
184	18.38	0.92	163483	45	94.15
174	17.45	0.93	162782	44	93.17
164	16.48	0.94	162093	45	93.06
159	15.92	0.94	160442	44	92.96
158	15.87	0.94	160134	44	93.13
158	15.81	0.94	160938	44	92.86
158	15.85	0.94	161085	44	93.03
158	15.83	0.94	158140	45	92.93
165	16.53	0.95	160702	44	93.10
188	18.74	0.92	165449	44	93.97
187	18.72	0.92	162943	45	93.49
188	18.84	0.91	163077	44	93.10
187	18.73	0.91	162997	44	93.68
186	18.70	0.92	163305	44	93.15
187	18.73	0.91	162509	44	93.38
190	19.04	0.91	162656	44	93.40
175	17.55	0.93	162346	45	93.65
166	16.65	0.94	162426	45	93.20
160	16.07	0.95	161057	44	92.88
161	16.10	0.95	161322	45	92.97
160	16.07	0.95	161092	45	92.94
162	16.20	0.94	161307	44	93.26
161	16.14	0.94	159945	44	92.64
168	16.79	0.95	162540	45	93.29
194	19.48	0.92	162857	44	93.88
189	18.97	0.92	163686	45	93.85
190	19.01	0.92	164413	45	94.02
190	19.07	0.92	162648	44	93.78
188	18.81	0.93	159729	44	94.01
183	18.39	0.93	150313	44	93.71
183	18.36	0.94	150937	44	93.82
182	18.25	0.94	149644	45	93.65
167	16.76	0.95	149325	44	92.98
162	16.24	0.96	149165	45	93.10
157	15.73	0.96	148228	44	92.82
157	15.68	0.97	149589	45	92.95
157	15.71	0.97	149530	44	92.93
157	15.73	0.97	149153	44	92.82
157	15.69	0.97	149277	45	92.94
166	16.63	0.98	149363	45	93.20
187	18.76	0.94	151760	44	93.99
187	18.75	0.94	152259	45	93.62
191	19.16	0.93	149684	45	93.94
187	18.77	0.94	151800	44	93.75
187	18.72	0.94	152479	44	93.57
188	18.86	0.94	151988	45	93.72
187	18.78	0.94	152589	45	93.36
187	18.78	0.94	150450	45	93.42
188	18.87	0.93	151728	45	93.28
171	17.18	0.95	148770	45	93.02
164	16.45	0.96	148689	44	92.93
163	16.30	0.96	147913	45	92.84
163	16.35	0.96	147623	44	92.84
162	16.25	0.96	148262	45	93.08
163	16.30	0.96	147908	45	92.81
163	16.32	0.95	147232	44	92.80
169	16.99	0.97	147446	45	92.95
198	19.83	0.91	159600	45	94.27
195	19.52	0.92	160478	44	94.23
195	19.56	0.92	161083	45	93.88
195	19.52	0.92	160971	45	93.89
198	19.87	0.91	160372	45	93.86
192	19.28	0.90	160582	45	94.12
170	17.02	0.82	165367	45	93.49
170	17.01	0.82	165332	45	93.36
170	17.09	0.82	164828	45	93.29
162	16.24	0.82	164144	44	92.96
129	12.87	0.75	173260	44	91.44
119	11.97	0.74	172290	44	90.98
121	12.09	0.73	172745	45	91.08
123	12.29	0.73	173167	45	90.98
122	12.20	0.73	174024	44	91.07
123	12.34	0.72	172769	45	91.23
123	12.35	0.72	146797	44	91.09
