Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
151	15.11	0.93	161256	44	93.10
150	14.98	0.94	162384	44	92.89
153	15.30	0.94	162642	44	92.65
150	15.00	0.94	162611	44	92.92
151	15.18	0.94	161310	44	92.69
156	15.62	0.94	162179	45	92.60
155	15.53	0.94	162280	44	92.81
180	18.03	0.92	164266	45	93.85
179	17.94	0.91	164461	44	93.69
179	18.01	0.91	164294	44	93.23
182	18.29	0.90	163128	45	93.25
166	16.65	0.93	164417	45	92.92
159	15.98	0.94	162877	44	92.79
155	15.56	0.94	162295	44	92.87
155	15.55	0.94	161899	45	92.90
155	15.59	0.93	161753	45	92.86
155	15.53	0.94	162571	44	92.82
155	15.51	0.94	162890	45	92.86
161	16.14	0.95	162186	44	92.99
186	18.63	0.91	162695	45	93.63
182	18.25	0.92	164158	44	93.67
182	18.24	0.92	164938	45	93.72
182	18.25	0.91	163553	45	93.69
182	18.28	0.91	163069	45	93.62
178	17.90	0.92	164370	45	92.97
167	16.66	0.93	164227	44	93.61
159	15.91	0.93	162205	45	92.96
158	15.87	0.93	160370	45	92.90
158	15.88	0.93	160591	45	92.92
158	15.84	0.94	161894	45	92.85
158	15.83	0.93	158958	45	92.91
160	16.12	0.94	159984	45	92.58
162	16.14	0.95	162749	45	93.44
186	18.69	0.92	162960	44	93.69
185	18.57	0.92	164258	44	94.08
186	18.63	0.91	163714	45	93.74
186	18.60	0.92	164523	45	93.74
186	18.68	0.92	163949	44	93.66
190	19.04	0.91	164494	45	94.17
175	17.55	0.93	164055	45	93.54
167	16.73	0.93	162635	44	92.93
161	16.11	0.94	162235	44	92.98
160	16.05	0.94	161806	44	92.96
160	16.03	0.94	163070	44	92.70
162	16.19	0.94	162065	45	93.22
162	16.22	0.93	162005	45	93.16
169	16.94	0.94	161696	45	93.28
190	19.06	0.91	162832	45	94.15
191	19.13	0.91	161698	45	94.09
191	19.12	0.91	163371	45	94.05
192	19.21	0.91	163503	45	94.12
191	19.18	0.91	163332	45	93.99
192	19.20	0.91	162189	45	93.55
192	19.25	0.91	162358	45	93.52
190	19.04	0.91	162611	45	93.58
173	17.36	0.93	162054	45	93.17
171	17.10	0.92	160941	45	92.90
166	16.65	0.93	160238	44	93.08
165	16.57	0.93	159443	45	92.74
165	16.59	0.93	159720	45	92.89
166	16.58	0.93	159898	45	92.95
165	16.62	0.93	159634	45	92.70
173	17.33	0.94	160110	45	93.25
197	19.72	0.91	161561	45	93.46
199	19.94	0.91	163223	45	93.49
196	19.63	0.91	164126	45	93.41
196	19.61	0.91	164532	45	93.88
195	19.56	0.92	164446	44	93.94
195	19.54	0.91	161033	45	93.78
194	19.51	0.92	163852	45	93.81
195	19.60	0.92	163771	44	93.88
181	18.13	0.93	162238	45	93.59
171	17.16	0.93	161694	45	93.09
168	16.79	0.94	161736	45	93.11
169	16.91	0.94	162190	45	92.77
169	16.92	0.93	160638	44	93.02
168	16.86	0.93	158494	44	92.83
167	16.74	0.93	158415	45	93.04
174	17.43	0.95	158998	45	93.26
195	19.50	0.92	162070	45	94.04
192	19.27	0.92	162856	45	93.78
184	18.45	0.88	162279	45	93.82
176	17.59	0.85	162851	45	93.48
159	15.88	0.78	171081	44	92.67
146	14.68	0.74	174750	44	91.94
147	14.69	0.74	174541	45	91.96
146	14.68	0.75	174015	44	91.93
148	14.80	0.74	174980	45	91.88
133	13.35	0.74	175006	45	91.56
124	12.42	0.74	173433	45	91.25
121	12.09	0.73	172554	44	91.05
120	11.98	0.74	172512	45	91.01
120	12.06	0.74	172326	45	90.96
119	11.96	0.74	172546	45	90.94
119	11.97	0.74	171843	45	91.10
128	12.83	0.77	172453	45	91.16
152	15.17	0.74	175008	45	92.06
151	15.15	0.74	175219	45	91.86
150	15.05	0.74	175320	45	91.87
151	15.14	0.74	175061	45	91.97
152	15.18	0.74	174873	44	92.00
154	15.45	0.74	174352	45	92.22
150	15.05	0.75	174629	45	92.01
150	15.07	0.74	174760	45	92.42
150	15.08	0.74	174842	45	92.36
150	15.04	0.74	174413	45	92.13
132	13.26	0.74	174146	45	91.45
124	12.42	0.74	173060	45	90.98
123	12.32	0.74	173092	45	91.06
123	12.30	0.74	172464	45	90.99
123	12.31	0.74	172455	45	91.20
124	12.42	0.73	171747	45	91.10
122	12.28	0.74	172210	45	91.00
131	13.12	0.77	172392	45	91.39
154	15.38	0.75	173924	45	92.50
154	15.43	0.74	173967	45	92.08
155	15.50	0.74	174789	45	92.04
154	15.44	0.75	174692	45	92.18
155	15.56	0.74	174627	45	92.23
154	15.47	0.74	174170	45	92.21
158	15.81	0.74	174534	45	92.18
154	15.43	0.74	173965	45	91.79
154	15.46	0.75	173824	45	91.85
154	15.43	0.74	173921	45	92.01
139	13.92	0.74	174387	45	91.47
129	12.93	0.74	172145	45	91.11
127	12.71	0.74	172206	45	91.09
126	12.66	0.73	170642	45	91.10
128	12.88	0.74	172334	45	90.43
148	14.81	0.73	173437	44	92.28
146	14.66	0.70	171243	45	91.64
133	13.28	0.70	158362	44	91.36
103	10.36	0.69	172945	45	90.97
106	10.57	0.69	24426	45	91.05
