Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
176	7.73	0.85	208876	52	107.52
173	7.81	0.85	208811	51	105.54
174	7.80	0.85	208934	52	105.52
173	7.79	0.85	209375	52	106.25
174	7.81	0.85	209506	52	105.40
175	7.85	0.85	209542	51	105.48
174	7.82	0.85	209307	52	105.48
173	7.75	0.85	209573	51	105.35
173	7.64	0.85	209682	51	105.66
174	7.76	0.86	209525	52	105.43
173	7.61	0.86	209554	52	105.64
173	7.61	0.85	209470	52	105.70
173	7.63	0.85	209562	52	105.66
173	7.63	0.86	209565	52	105.73
173	7.72	0.85	209400	52	105.51
175	7.80	0.85	209234	52	105.53
174	7.79	0.85	209314	52	105.55
173	7.77	0.85	209566	52	105.49
173	7.75	0.85	209520	52	105.44
173	7.76	0.86	209584	52	105.42
173	7.73	0.85	209565	52	105.47
173	7.77	0.85	209527	52	105.45
174	7.78	0.85	209342	52	105.50
174	7.83	0.85	209619	52	105.59
174	7.81	0.85	209784	52	105.49
174	7.65	0.85	209658	52	105.68
173	7.57	0.86	209543	52	105.48
173	7.63	0.85	209404	52	105.65
174	7.66	0.85	209653	52	105.71
173	7.66	0.85	209627	52	105.59
173	7.83	0.85	209396	52	105.70
173	7.88	0.85	209251	52	105.50
172	7.82	0.86	209469	52	105.59
173	7.84	0.86	209544	52	105.63
172	7.83	0.86	209321	52	105.50
173	7.82	0.86	209571	52	105.55
173	7.82	0.86	209807	52	105.58
173	7.82	0.86	209544	52	105.57
173	7.81	0.86	209485	52	105.51
173	7.81	0.86	209514	52	105.54
173	7.80	0.85	209643	52	105.50
172	7.79	0.86	209382	52	105.57
173	7.82	0.86	209658	52	105.43
172	7.79	0.86	209534	52	105.51
174	7.85	0.85	209364	52	105.55
174	7.70	0.85	209402	53	105.80
173	7.66	0.85	209659	52	105.59
174	7.63	0.85	209524	52	105.68
173	7.63	0.85	209597	53	105.60
173	7.63	0.85	209755	52	105.60
174	7.63	0.85	209505	52	105.64
174	7.64	0.85	209351	52	105.64
173	7.77	0.85	209692	52	105.42
174	7.67	0.85	209627	52	105.72
174	7.64	0.85	209127	52	105.63
174	7.65	0.85	209618	52	105.62
173	7.69	0.85	209652	52	105.60
173	7.65	0.85	209516	52	105.57
174	7.70	0.85	209591	52	105.72
173	7.69	0.85	209194	52	105.62
173	7.69	0.85	209614	53	105.71
173	7.69	0.86	209255	52	105.72
174	7.69	0.86	209422	53	105.84
173	7.69	0.85	209353	53	105.74
173	7.62	0.85	209595	53	105.61
172	7.61	0.85	209368	52	105.64
173	7.64	0.85	209442	52	105.64
173	7.63	0.85	209315	52	105.60
173	7.61	0.85	209758	53	105.66
173	7.62	0.85	209466	52	105.80
165	7.30	0.83	209704	52	105.32
156	6.93	0.81	209807	52	104.79
156	6.94	0.81	210026	52	104.83
157	6.97	0.80	209479	53	104.84
157	7.00	0.79	209727	52	104.85
157	6.99	0.79	209614	53	104.81
157	6.95	0.79	209850	52	104.84
155	7.12	0.79	208934	52	104.41
155	7.06	0.80	209450	52	104.69
156	7.07	0.79	209287	53	104.74
156	7.07	0.79	209643	53	104.76
156	7.09	0.80	209200	52	104.74
155	7.14	0.80	209601	52	104.66
155	7.14	0.80	209505	52	104.64
156	7.12	0.79	209603	52	104.67
157	7.06	0.79	209288	52	104.84
157	7.08	0.79	209884	52	104.86
156	7.25	0.79	209505	52	104.46
156	7.19	0.80	209804	52	104.68
155	7.14	0.79	209666	52	104.65
156	7.19	0.79	209657	52	104.74
158	7.26	0.79	209069	53	104.83
156	7.20	0.79	209699	52	104.61
156	7.20	0.80	209352	52	104.59
156	7.20	0.79	209401	53	104.70
157	7.32	0.79	209334	53	104.53
156	7.32	0.79	209568	53	104.47
156	7.31	0.79	209377	52	104.47
157	7.20	0.79	208780	52	104.68
156	7.09	0.79	209651	52	104.74
157	7.11	0.79	209435	52	104.72
156	7.09	0.79	209164	52	104.68
157	7.10	0.79	209407	52	104.79
156	7.08	0.79	209523	53	104.58
157	7.10	0.79	209495	52	104.57
157	7.10	0.79	209076	52	104.68
156	7.09	0.79	209396	52	104.66
157	7.01	0.79	209334	53	104.85
158	7.00	0.79	209401	52	104.88
158	6.94	0.78	209495	53	104.84
157	6.90	0.79	209533	53	104.90
157	6.90	0.79	209450	52	104.97
156	6.96	0.79	209376	52	104.76
157	6.99	0.79	209403	53	104.88
156	6.94	0.79	209656	52	104.81
157	7.07	0.79	209564	53	104.75
156	7.07	0.79	209666	52	104.75
156	7.06	0.80	209060	52	104.77
156	7.09	0.80	209287	53	104.79
156	7.07	0.80	209665	53	104.72
155	7.07	0.80	209474	53	104.74
156	7.08	0.80	209341	52	104.76
152	6.92	0.79	209761	53	104.60
141	6.42	0.77	210840	53	104.14
143	6.49	0.78	210172	52	104.06
136	6.12	0.75	214279	53	103.91
128	5.54	0.70	220582	53	103.59
129	5.58	0.70	220046	53	103.71
129	5.57	0.71	220213	53	103.68
130	5.66	0.71	47192	53	103.94
