Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
136	13.67	0.99	154788	42	93.72
135	13.56	1.00	154139	43	93.58
141	14.09	0.99	154442	43	93.68
142	14.26	1.01	154871	43	93.53
137	13.75	1.00	152063	43	93.75
164	16.40	0.95	154678	43	93.98
163	16.32	0.95	153990	43	93.87
161	16.09	0.96	154026	43	93.79
147	14.76	0.98	153403	43	93.54
145	14.49	0.98	151573	43	93.65
140	14.03	0.99	152847	42	93.63
140	14.00	0.99	151045	43	93.48
139	13.94	0.99	152479	43	93.62
139	13.94	1.00	154767	42	93.54
139	13.93	1.00	153503	43	93.61
146	14.62	1.01	154695	43	93.54
174	17.37	0.94	168907	43	94.24
175	17.51	0.94	165898	43	94.17
172	17.26	0.94	167271	42	94.07
172	17.29	0.94	168131	43	94.11
160	16.05	0.95	167924	43	94.04
153	15.37	0.96	166915	43	93.99
148	14.87	0.97	164176	43	93.87
147	14.75	0.97	165471	43	93.86
148	14.83	0.97	165344	43	94.00
148	14.80	0.97	165158	43	93.91
147	14.70	0.98	166207	43	93.82
154	15.48	0.99	167671	43	94.00
172	17.27	0.95	165867	43	94.02
174	17.43	0.95	168461	43	94.02
176	17.63	0.94	169390	43	94.10
178	17.80	0.95	169084	43	94.36
176	17.66	0.94	170542	43	94.18
172	17.24	0.94	167652	43	94.03
161	16.12	0.96	168499	43	94.25
152	15.27	0.96	165783	43	94.08
154	15.44	0.96	166622	43	94.09
151	15.10	0.97	165785	43	93.94
151	15.11	0.97	165489	43	93.96
151	15.10	0.97	165727	43	94.01
154	15.41	0.97	164400	43	94.03
155	15.52	0.98	166433	43	93.99
178	17.85	0.94	166335	43	94.26
173	17.33	0.96	156897	43	94.00
175	17.55	0.96	157770	43	94.10
180	18.03	0.95	166672	43	94.19
179	17.97	0.95	168605	43	94.31
179	17.93	0.95	168077	43	94.24
165	16.54	0.97	167141	43	94.11
157	15.78	0.97	166548	43	94.00
155	15.54	0.97	163973	43	94.03
156	15.63	0.97	165049	43	93.97
155	15.52	0.98	165121	43	94.02
154	15.46	0.98	165544	43	94.06
156	15.61	0.98	163811	43	94.02
162	16.26	0.99	165624	43	93.93
186	18.59	0.94	166703	43	94.26
183	18.37	0.94	167066	43	94.10
183	18.33	0.94	166796	43	94.10
185	18.52	0.94	168128	43	94.33
184	18.48	0.94	166178	43	94.16
183	18.34	0.94	165653	43	94.16
183	18.36	0.94	166957	43	94.06
173	17.36	0.96	167088	43	94.20
163	16.30	0.96	166102	43	94.03
158	15.79	0.97	163983	43	94.01
157	15.72	0.98	165021	43	93.86
158	15.80	0.98	165530	43	94.02
158	15.85	0.97	163859	43	93.94
156	15.66	0.98	163438	43	93.81
157	15.78	1.01	155077	43	93.77
163	14.89	0.97	158347	43	95.87
267	8.78	0.83	217256	44	122.55
270	8.88	0.82	216969	44	122.78
212	7.27	0.85	217080	44	116.67
186	6.51	0.89	214904	45	113.39
185	6.50	0.90	214235	45	113.41
185	6.50	0.89	214272	45	113.42
184	6.47	0.89	214609	45	113.44
181	6.34	0.88	214793	45	113.42
185	6.51	0.90	214393	45	113.62
193	6.74	0.91	214878	45	114.53
180	18.00	0.96	155933	44	94.45
175	17.59	0.97	156761	44	94.11
180	18.01	0.95	163848	44	94.21
183	18.33	0.94	167467	44	94.36
183	18.39	0.94	166751	44	94.24
183	18.38	0.94	166194	44	94.24
167	16.73	0.96	167496	43	94.15
160	16.05	0.97	165076	44	93.99
157	15.75	0.97	164262	43	94.16
157	15.78	0.98	164619	44	94.05
158	15.82	0.97	165969	43	94.02
157	15.78	0.97	164422	44	94.04
157	15.72	0.98	165044	44	94.03
164	16.48	0.99	165873	44	94.09
206	13.84	0.89	184996	44	104.42
273	8.94	0.79	223258	45	122.85
200	6.37	0.67	236453	45	117.77
156	5.15	0.67	235437	45	113.11
151	5.00	0.66	138446	45	112.64
