Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
125	12.48	0.94	155451	42	93.20
133	13.35	1.00	154590	43	93.43
136	13.63	0.99	152819	43	93.51
139	13.94	0.99	151046	43	93.59
142	14.22	1.01	153391	42	93.50
147	14.75	0.99	154738	43	93.73
159	15.88	0.97	157346	42	93.87
158	15.73	0.94	155914	43	94.47
145	14.49	0.97	153662	43	93.94
140	14.04	0.98	152522	42	93.53
136	13.63	0.98	151990	43	93.44
138	13.80	0.98	150527	43	93.54
136	13.63	1.00	154224	43	93.63
135	13.51	1.00	155619	43	93.59
137	13.69	0.99	151913	43	93.53
138	13.80	0.98	154399	43	93.49
140	13.98	0.95	154144	43	93.72
155	15.35	0.93	157494	42	94.38
153	15.30	0.94	158843	43	94.09
138	13.86	0.95	156180	43	93.55
134	13.43	0.96	154982	43	93.43
131	13.09	0.97	156173	43	93.49
131	13.08	0.96	156983	43	93.46
131	13.14	0.96	153623	43	93.47
131	13.15	0.96	152877	43	93.49
131	13.14	0.95	153342	43	93.40
138	13.84	0.96	152150	43	93.39
159	15.92	0.92	154710	43	93.94
161	16.17	0.91	161217	43	93.85
164	16.42	0.91	166339	43	93.92
155	15.53	0.91	165479	43	93.91
150	15.07	0.92	165567	43	93.84
140	14.07	0.93	165246	43	93.75
141	14.10	0.93	162861	43	93.70
141	14.10	0.93	164419	43	93.69
140	14.02	0.94	165097	43	93.74
141	14.12	0.94	165815	43	93.76
147	14.70	0.94	163891	43	93.63
141	14.09	0.95	165410	43	93.79
231	9.34	0.80	217001	44	117.88
198	6.86	0.82	227034	44	116.45
176	6.20	0.83	225354	44	114.41
175	6.16	0.83	225191	44	114.49
176	6.19	0.83	224892	44	114.46
177	6.21	0.83	225065	44	114.56
176	6.18	0.83	224958	44	114.45
175	6.16	0.83	225226	45	114.44
184	6.43	0.85	224551	45	115.40
163	16.37	0.92	168250	44	94.12
167	16.76	0.91	167161	43	94.18
159	15.97	0.91	165534	43	93.94
148	14.85	0.93	166358	44	93.87
142	14.19	0.94	165894	43	93.90
141	14.09	0.93	164633	43	93.82
139	13.97	0.94	166172	44	93.87
139	13.98	0.94	165422	44	93.84
140	13.99	0.94	165841	44	93.79
139	13.96	0.94	166241	44	93.80
147	14.75	0.95	166891	43	93.86
159	15.98	0.94	159844	43	93.83
160	16.04	0.94	158193	43	93.95
160	16.06	0.93	158022	43	93.90
160	16.04	0.93	157072	43	93.82
146	14.62	0.96	157579	44	93.86
140	13.99	0.97	156663	43	93.61
135	13.58	0.97	155767	43	93.56
136	13.62	0.97	155298	44	93.71
135	13.57	0.97	155665	43	93.55
138	13.83	0.97	156156	44	93.77
135	13.57	0.97	156105	43	93.50
142	14.23	0.99	158519	44	93.64
164	16.39	0.94	158307	44	93.97
163	16.34	0.94	158211	44	93.82
163	16.39	0.93	157439	43	93.84
162	16.25	0.94	158846	43	93.88
163	16.30	0.94	158514	43	93.78
155	15.56	0.94	157741	43	93.79
145	14.54	0.96	157607	43	93.71
139	13.90	0.97	156030	43	93.54
139	13.93	0.96	154217	43	93.53
139	13.92	0.97	155347	43	93.57
140	13.98	0.97	155615	43	93.58
140	13.99	0.96	155918	43	93.60
146	14.64	0.97	154846	43	93.67
139	13.95	0.98	156454	44	93.66
239	9.12	0.82	209982	44	118.99
239	7.97	0.82	218278	45	120.67
181	6.28	0.85	217037	45	114.55
172	6.05	0.87	215171	45	113.41
172	6.04	0.86	215462	45	113.44
171	6.02	0.86	215464	45	113.57
171	6.02	0.86	214984	45	113.59
170	5.99	0.87	215375	45	113.35
179	6.25	0.87	214577	45	114.33
163	16.30	0.95	159565	44	94.11
167	16.71	0.93	156784	44	94.17
163	16.36	0.93	158293	44	93.89
164	16.42	0.93	158147	43	93.97
164	16.43	0.93	159201	44	93.88
160	15.99	0.94	157126	44	93.95
125	12.50	0.84	163386	44	93.09
104	10.39	0.76	165863	44	92.56
102	10.26	0.77	167225	44	92.47
103	10.28	0.77	91575	44	92.58
