Connecting to host 10.45.0.1, port 5302
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.3 port 42656 connected to 10.45.0.1 port 5302
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  57.00-58.00  sec  1.19 MBytes  9.98 Mbits/sec  2.017 ms  0/925 (0%)  
[  5]  58.00-59.00  sec  1.20 MBytes  10.1 Mbits/sec  1.629 ms  0/934 (0%)  
[  5]  59.00-60.00  sec  1.19 MBytes  10.0 Mbits/sec  1.660 ms  0/927 (0%)  
[  5]  60.00-61.00  sec  1.19 MBytes  10.0 Mbits/sec  1.603 ms  0/927 (0%)  
[  5]  61.00-62.00  sec  1.19 MBytes  9.95 Mbits/sec  1.924 ms  0/923 (0%)  
[  5]  62.00-63.00  sec  1.19 MBytes  10.0 Mbits/sec  1.698 ms  0/928 (0%)  
[  5]  63.00-64.00  sec  1.20 MBytes  10.0 Mbits/sec  1.495 ms  0/931 (0%)  
[  5]  64.00-65.00  sec  1.19 MBytes  9.97 Mbits/sec  1.802 ms  0/925 (0%)  
[  5]  65.00-66.00  sec  1.19 MBytes  9.98 Mbits/sec  1.888 ms  0/925 (0%)  
[  5]  66.00-67.00  sec  1.18 MBytes  9.92 Mbits/sec  2.126 ms  0/920 (0%)  
[  5]  67.00-68.00  sec  1.20 MBytes  10.1 Mbits/sec  1.827 ms  0/934 (0%)  
[  5]  68.00-69.00  sec  1.19 MBytes  9.96 Mbits/sec  2.088 ms  0/924 (0%)  
[  5]  69.00-70.00  sec  1.20 MBytes  10.1 Mbits/sec  1.566 ms  0/937 (0%)  
[  5]  70.00-71.00  sec  1.19 MBytes  9.99 Mbits/sec  1.601 ms  0/926 (0%)  
[  5]  71.00-72.00  sec  1.19 MBytes  9.96 Mbits/sec  1.847 ms  0/924 (0%)  
[  5]  72.00-73.00  sec  1.19 MBytes  10.0 Mbits/sec  1.894 ms  0/928 (0%)  
[  5]  73.00-74.00  sec  1.18 MBytes  9.92 Mbits/sec  1.941 ms  0/920 (0%)  
[  5]  74.00-75.00  sec  1.21 MBytes  10.1 Mbits/sec  1.661 ms  0/938 (0%)  
[  5]  75.00-76.00  sec  1.18 MBytes  9.89 Mbits/sec  2.091 ms  0/917 (0%)  
[  5]  76.00-77.00  sec  1.20 MBytes  10.1 Mbits/sec  1.519 ms  0/937 (0%)  
[  5]  77.00-78.00  sec  1.19 MBytes  10.0 Mbits/sec  1.769 ms  0/927 (0%)  
[  5]  78.00-79.00  sec  1.19 MBytes  10.0 Mbits/sec  1.546 ms  0/928 (0%)  
[  5]  79.00-80.00  sec  1.19 MBytes  9.95 Mbits/sec  1.843 ms  0/923 (0%)  
[  5]  80.00-81.00  sec  1.20 MBytes  10.0 Mbits/sec  1.525 ms  0/931 (0%)  
[  5]  81.00-82.00  sec  1.19 MBytes  9.95 Mbits/sec  1.683 ms  0/923 (0%)  
[  5]  82.00-83.00  sec  1.19 MBytes  10.0 Mbits/sec  1.790 ms  0/927 (0%)  
[  5]  83.00-84.00  sec  1.19 MBytes  10.0 Mbits/sec  1.590 ms  0/929 (0%)  
[  5]  84.00-85.00  sec  1.19 MBytes  10.0 Mbits/sec  1.634 ms  0/928 (0%)  
[  5]  85.00-86.00  sec  1.19 MBytes  9.99 Mbits/sec  1.592 ms  0/926 (0%)  
[  5]  86.00-87.00  sec  1.20 MBytes  10.1 Mbits/sec  1.658 ms  0/932 (0%)  
[  5]  87.00-88.00  sec  1.19 MBytes  10.0 Mbits/sec  1.701 ms  0/927 (0%)  
[  5]  88.00-89.00  sec  1.19 MBytes  10.0 Mbits/sec  1.581 ms  0/927 (0%)  
[  5]  89.00-90.00  sec  1.19 MBytes  10.0 Mbits/sec  1.627 ms  0/927 (0%)  
[  5]  90.00-91.00  sec  1.19 MBytes  9.98 Mbits/sec  1.861 ms  0/925 (0%)  
[  5]  91.00-92.00  sec  1.19 MBytes  10.0 Mbits/sec  1.695 ms  0/929 (0%)  
[  5]  92.00-93.00  sec  1.19 MBytes  9.97 Mbits/sec  1.915 ms  0/925 (0%)  
[  5]  93.00-94.00  sec  1.20 MBytes  10.0 Mbits/sec  1.695 ms  0/930 (0%)  
[  5]  94.00-95.00  sec  1.18 MBytes  9.92 Mbits/sec  2.030 ms  0/920 (0%)  
[  5]  95.00-96.00  sec  1.20 MBytes  10.0 Mbits/sec  1.733 ms  0/930 (0%)  
[  5]  96.00-97.00  sec  1.19 MBytes  9.96 Mbits/sec  1.775 ms  0/924 (0%)  
[  5]  97.00-98.00  sec  1.20 MBytes  10.0 Mbits/sec  1.937 ms  0/931 (0%)  
[  5]  98.00-99.00  sec  1.20 MBytes  10.0 Mbits/sec  1.528 ms  0/932 (0%)  
[  5]  99.00-100.00 sec  1.19 MBytes  9.96 Mbits/sec  1.590 ms  0/924 (0%)  
[  5] 100.00-101.00 sec  1.19 MBytes  9.97 Mbits/sec  2.062 ms  0/924 (0%)  
[  5] 101.00-101.42 sec   525 KBytes  10.2 Mbits/sec  1.614 ms  0/399 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-101.42 sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  sender
[  5]   0.00-101.42 sec   121 MBytes  10.0 Mbits/sec  1.614 ms  0/94086 (0%)  receiver
