Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
164	7.43	0.91	209400	48	104.53
166	7.41	0.91	208946	48	104.42
167	7.17	0.90	210023	48	104.76
166	7.12	0.90	210291	48	104.70
167	7.13	0.90	210797	48	104.85
167	7.14	0.90	210692	48	104.75
167	7.17	0.90	210691	48	104.73
166	7.22	0.90	210515	48	104.70
165	7.36	0.91	210860	48	104.68
165	7.39	0.91	211126	48	104.66
165	7.40	0.90	210665	48	104.29
166	7.42	0.91	210054	48	104.47
166	7.47	0.91	210288	48	104.46
167	7.30	0.90	210523	48	104.44
166	7.35	0.90	210448	48	104.50
165	7.43	0.90	210447	48	104.42
165	7.43	0.91	210218	48	104.35
166	7.49	0.90	210291	48	104.30
165	7.45	0.90	210297	48	104.24
166	7.51	0.90	210427	48	104.24
166	7.49	0.90	210332	48	104.26
166	7.36	0.90	210431	48	104.40
167	7.37	0.90	210414	48	104.45
167	7.36	0.90	210514	48	104.38
166	7.48	0.91	210177	48	104.36
166	7.42	0.90	210337	48	104.43
165	7.27	0.90	210531	48	104.45
165	7.32	0.91	210286	48	104.34
165	7.33	0.91	210307	48	104.39
167	7.32	0.90	210501	48	104.40
167	7.28	0.90	210310	48	104.45
165	7.36	0.91	210444	48	104.42
165	7.37	0.91	210504	48	104.39
165	7.37	0.90	210395	48	104.41
166	7.35	0.91	210451	48	104.42
165	7.38	0.91	210429	48	104.35
165	7.33	0.91	210620	48	104.40
165	7.46	0.91	210323	48	104.36
165	7.51	0.91	210273	48	104.28
166	7.52	0.90	210250	48	104.25
165	7.51	0.91	210280	48	104.26
165	7.53	0.91	210429	48	104.34
165	7.52	0.91	210483	48	104.37
165	7.54	0.91	210484	48	104.35
165	7.20	0.91	210816	48	105.22
166	7.12	0.91	210804	48	105.40
165	7.21	0.91	210909	48	105.35
165	7.01	0.90	211008	48	105.52
166	7.10	0.90	211110	48	105.47
165	7.01	0.90	211181	48	105.46
167	6.94	0.90	211310	48	105.52
167	6.97	0.90	211331	48	105.60
168	6.99	0.90	210907	48	105.52
168	6.98	0.89	210888	48	105.54
168	7.00	0.90	211297	49	105.58
144	6.20	0.82	217711	48	104.80
126	5.47	0.72	223814	49	103.47
126	5.55	0.72	223941	48	103.47
125	5.59	0.72	223854	49	103.33
126	5.57	0.72	224149	48	103.31
126	5.59	0.72	223630	49	103.37
128	5.65	0.73	222669	48	103.58
141	6.15	0.80	218141	48	104.69
163	7.57	0.91	211178	48	104.35
164	7.61	0.91	210700	48	104.30
164	7.63	0.91	210926	48	104.29
165	7.64	0.91	211094	48	104.29
165	7.66	0.91	210842	48	104.34
165	7.64	0.91	210880	48	104.30
165	7.57	0.91	210442	48	104.29
166	7.53	0.91	210262	48	104.39
166	7.53	0.91	210110	48	104.41
167	7.36	0.90	210669	48	104.53
166	7.33	0.90	210584	48	104.37
166	7.33	0.90	210522	48	104.45
165	7.41	0.91	211001	48	104.38
166	7.34	0.90	210444	48	104.46
166	7.33	0.90	210650	48	104.35
166	7.32	0.90	210755	48	104.48
166	7.28	0.90	210690	48	104.46
167	7.35	0.90	210532	48	104.35
167	7.34	0.90	210692	48	104.42
166	7.33	0.90	210833	49	104.45
165	7.45	0.91	210157	48	104.40
166	7.49	0.91	210184	48	104.33
165	7.48	0.91	210218	48	104.35
166	7.49	0.91	210398	48	104.39
165	7.47	0.91	210246	48	104.36
165	7.47	0.91	210279	48	104.34
166	7.49	0.91	210153	48	104.39
165	7.47	0.91	210428	48	104.39
166	7.37	0.90	210317	48	104.54
166	7.22	0.90	210659	48	104.52
165	7.34	0.90	210250	48	104.40
166	7.33	0.91	210337	48	104.42
166	7.39	0.90	210340	48	104.44
166	7.42	0.91	210434	48	104.56
166	7.41	0.91	210225	48	104.36
166	7.39	0.91	210469	48	104.39
166	7.39	0.90	210326	48	104.38
166	7.41	0.90	210512	48	104.34
165	7.32	0.91	210464	48	104.28
165	7.40	0.90	210461	48	104.30
166	7.41	0.90	210279	48	104.37
166	7.45	0.90	210310	48	104.27
166	7.41	0.90	210410	48	104.30
166	7.39	0.91	210443	48	104.34
166	7.40	0.90	210197	48	104.36
166	7.40	0.90	210441	48	104.42
166	7.39	0.91	210527	48	104.36
165	7.31	0.91	210533	48	104.33
165	7.32	0.91	210295	48	104.29
165	7.34	0.91	210640	48	104.34
165	7.34	0.91	210338	48	104.40
165	7.32	0.91	210570	48	104.32
165	7.32	0.91	210242	48	104.32
166	7.33	0.90	210076	48	104.46
165	7.35	0.90	210368	48	104.37
166	7.39	0.91	210490	48	104.43
165	7.36	0.90	210085	48	104.36
165	7.38	0.90	210410	48	104.25
166	7.40	0.90	210225	48	104.40
165	7.35	0.90	209681	48	104.36
165	7.34	0.91	210082	48	104.37
166	7.39	0.90	210284	48	104.41
165	7.38	0.90	210204	48	104.35
165	7.38	0.90	210475	48	104.40
165	7.32	0.91	209978	48	104.41
165	7.34	0.91	210159	48	104.31
165	7.33	0.91	210486	48	104.41
165	7.34	0.91	210679	48	104.36
165	7.35	0.90	210197	48	104.41
166	7.37	0.90	210406	48	104.42
166	7.40	0.90	210353	48	104.34
166	7.40	0.90	210175	48	104.36
166	7.32	0.91	210272	48	104.41
166	7.34	0.91	210348	48	104.41
166	7.38	0.90	210118	48	104.38
166	7.32	0.91	210606	48	104.37
166	7.35	0.90	210042	48	104.29
