Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
140	5.80	0.73	224832	49	105.10
138	5.75	0.73	225278	49	104.82
139	6.12	0.74	224659	49	104.35
139	6.06	0.74	224831	49	104.13
138	6.04	0.73	225768	49	104.13
139	6.10	0.74	225066	49	104.12
139	6.10	0.74	225726	49	104.03
138	6.08	0.73	225663	49	104.13
139	6.11	0.74	225550	49	104.25
139	6.11	0.74	225444	49	104.15
138	5.99	0.74	225836	49	104.09
139	5.93	0.74	225842	49	104.08
138	6.08	0.74	225856	49	104.02
137	6.03	0.73	226094	49	104.01
139	6.04	0.74	225567	49	104.02
138	5.99	0.74	225938	49	104.06
138	6.05	0.74	225393	49	103.96
139	6.07	0.74	225442	49	104.04
138	5.94	0.74	226414	49	104.11
138	5.87	0.75	225431	49	104.35
139	6.07	0.74	225227	49	104.05
138	6.00	0.73	226256	49	104.18
139	5.90	0.74	225765	49	104.16
139	6.05	0.73	225516	49	104.11
138	6.03	0.73	225821	49	103.98
139	6.05	0.74	225570	48	104.08
139	6.07	0.74	225352	49	104.12
137	6.02	0.73	225655	49	103.98
138	5.84	0.74	225964	49	104.29
138	5.83	0.74	226277	49	104.28
138	6.01	0.74	226276	49	104.05
138	5.84	0.74	226053	49	104.33
138	5.87	0.74	226030	49	104.26
137	5.99	0.73	226193	49	104.24
139	6.05	0.74	225443	49	104.31
138	6.03	0.74	225456	49	104.27
138	6.09	0.74	225723	49	104.26
138	6.05	0.74	225838	49	104.43
139	6.11	0.73	225701	49	104.08
138	6.20	0.74	225184	49	103.55
138	6.21	0.74	225512	49	103.60
138	6.21	0.74	225369	49	103.64
137	6.17	0.73	225730	49	103.61
138	6.22	0.74	224814	49	103.72
138	6.17	0.73	225652	49	103.80
138	6.19	0.74	225485	49	103.75
138	6.21	0.74	225197	49	103.78
138	6.23	0.73	224958	49	103.59
138	6.24	0.74	225263	49	103.66
138	6.23	0.74	225410	49	103.44
138	6.20	0.74	225656	49	103.54
138	6.12	0.74	225195	49	103.56
138	6.07	0.74	225510	49	103.60
137	6.11	0.74	225636	49	103.44
138	6.23	0.74	225255	49	103.51
138	6.21	0.74	225290	49	103.55
137	6.19	0.73	225273	49	103.48
139	6.09	0.74	225431	49	103.50
139	6.18	0.74	225312	49	103.65
138	6.21	0.73	225563	49	103.52
138	6.25	0.73	225363	49	103.42
139	6.25	0.74	225444	49	103.55
138	6.19	0.74	225636	49	103.53
138	6.24	0.74	225179	49	103.56
139	6.23	0.74	225307	49	103.57
138	6.20	0.73	225698	49	103.48
139	6.26	0.74	224987	49	103.54
138	6.24	0.74	225116	49	103.45
138	6.22	0.74	225226	49	103.59
138	6.21	0.74	225613	49	103.51
138	6.24	0.74	224930	49	103.42
138	6.22	0.74	224943	49	103.57
139	6.21	0.74	225346	48	103.70
138	6.21	0.73	225777	49	103.83
138	6.21	0.74	224974	49	103.85
139	6.24	0.74	225035	49	103.90
138	6.20	0.73	225662	49	103.81
138	6.21	0.74	225311	49	103.79
139	6.24	0.74	225239	49	103.90
138	6.19	0.73	225386	49	103.80
139	6.27	0.74	224903	49	103.82
138	6.22	0.74	225474	49	103.74
138	6.20	0.73	225579	49	103.78
139	6.27	0.74	224975	49	103.88
138	6.20	0.73	225845	49	103.80
138	6.24	0.73	225504	49	103.77
139	6.25	0.74	224839	49	103.72
138	6.23	0.74	225046	49	103.74
138	6.21	0.73	225295	49	103.87
139	6.26	0.74	224996	49	103.79
138	6.24	0.74	225033	49	103.89
