Connecting to host 10.45.0.1, port 5301
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.7 port 40727 connected to 10.45.0.1 port 5301
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  55.00-56.00  sec  2.37 MBytes  19.9 Mbits/sec  0.985 ms  0/1846 (0%)  
[  5]  56.00-57.00  sec  2.39 MBytes  20.1 Mbits/sec  0.861 ms  5/1865 (0.27%)  
[  5]  57.00-58.00  sec  2.27 MBytes  19.0 Mbits/sec  3.465 ms  5/1771 (0.28%)  
[  5]  58.00-59.00  sec  2.46 MBytes  20.7 Mbits/sec  1.264 ms  9/1924 (0.47%)  
[  5]  59.00-60.00  sec  2.38 MBytes  20.0 Mbits/sec  1.129 ms  0/1851 (0%)  
[  5]  60.00-61.00  sec  2.41 MBytes  20.2 Mbits/sec  0.827 ms  0/1875 (0%)  
[  5]  61.00-62.00  sec  2.36 MBytes  19.8 Mbits/sec  0.942 ms  0/1838 (0%)  
[  5]  62.00-63.00  sec  2.39 MBytes  20.0 Mbits/sec  0.794 ms  0/1859 (0%)  
[  5]  63.00-64.00  sec  2.38 MBytes  20.0 Mbits/sec  0.893 ms  0/1855 (0%)  
[  5]  64.00-65.00  sec  2.34 MBytes  19.6 Mbits/sec  1.025 ms  0/1817 (0%)  
[  5]  65.00-66.00  sec  2.41 MBytes  20.2 Mbits/sec  0.832 ms  27/1901 (1.4%)  
[  5]  66.00-67.00  sec  2.39 MBytes  20.0 Mbits/sec  0.712 ms  5/1861 (0.27%)  
[  5]  67.00-68.00  sec  2.37 MBytes  19.9 Mbits/sec  0.788 ms  0/1847 (0%)  
[  5]  68.00-69.00  sec  2.27 MBytes  19.1 Mbits/sec  0.932 ms  0/1768 (0%)  
[  5]  69.00-70.00  sec  2.50 MBytes  21.0 Mbits/sec  0.768 ms  0/1948 (0%)  
[  5]  70.00-71.00  sec  2.38 MBytes  20.0 Mbits/sec  0.711 ms  0/1854 (0%)  
[  5]  71.00-71.47  sec  1.07 MBytes  18.9 Mbits/sec  0.817 ms  49/880 (5.6%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-71.47  sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  sender
[  5]   0.00-71.47  sec   170 MBytes  20.0 Mbits/sec  0.817 ms  382/132623 (0.29%)  receiver
