Connecting to host 10.45.0.1, port 5301
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.9 port 43318 connected to 10.45.0.1 port 5301
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  57.00-58.00  sec  1.14 MBytes  9.59 Mbits/sec  1.831 ms  0/890 (0%)  
[  5]  58.00-59.00  sec  1.23 MBytes  10.3 Mbits/sec  1.538 ms  0/955 (0%)  
[  5]  59.00-60.00  sec  1.19 MBytes  10.0 Mbits/sec  1.777 ms  0/929 (0%)  
[  5]  60.00-61.00  sec  1.15 MBytes  9.61 Mbits/sec  1.799 ms  5/896 (0.56%)  
[  5]  61.00-62.00  sec  1.22 MBytes  10.2 Mbits/sec  2.107 ms  0/948 (0%)  
[  5]  62.00-63.00  sec  1.21 MBytes  10.2 Mbits/sec  1.627 ms  0/944 (0%)  
[  5]  63.00-64.00  sec  1.19 MBytes  10.0 Mbits/sec  1.570 ms  0/929 (0%)  
[  5]  64.00-65.00  sec  1.19 MBytes  9.95 Mbits/sec  1.637 ms  0/923 (0%)  
[  5]  65.00-66.00  sec  1.20 MBytes  10.0 Mbits/sec  1.529 ms  0/930 (0%)  
[  5]  66.00-67.00  sec  1.18 MBytes  9.92 Mbits/sec  2.117 ms  0/920 (0%)  
[  5]  67.00-68.00  sec  1.20 MBytes  10.0 Mbits/sec  1.753 ms  0/931 (0%)  
[  5]  68.00-69.00  sec  1.19 MBytes  10.0 Mbits/sec  1.563 ms  0/928 (0%)  
[  5]  69.00-70.00  sec  1.18 MBytes  9.87 Mbits/sec  1.364 ms  0/915 (0%)  
[  5]  70.00-71.00  sec  1.21 MBytes  10.1 Mbits/sec  1.692 ms  0/939 (0%)  
[  5]  71.00-72.00  sec  1.20 MBytes  10.0 Mbits/sec  1.608 ms  0/930 (0%)  
[  5]  72.00-73.00  sec  1.18 MBytes  9.90 Mbits/sec  2.129 ms  0/918 (0%)  
[  5]  73.00-74.00  sec  1.20 MBytes  10.1 Mbits/sec  1.485 ms  0/937 (0%)  
[  5]  74.00-75.00  sec  1.19 MBytes  10.0 Mbits/sec  1.609 ms  0/927 (0%)  
[  5]  75.00-76.00  sec  1.19 MBytes  10.0 Mbits/sec  1.544 ms  0/928 (0%)  
[  5]  76.00-77.00  sec  1.15 MBytes  9.64 Mbits/sec  1.782 ms  0/894 (0%)  
[  5]  77.00-78.00  sec  1.23 MBytes  10.3 Mbits/sec  1.647 ms  0/957 (0%)  
[  5]  78.00-79.00  sec  1.18 MBytes  9.92 Mbits/sec  1.942 ms  0/920 (0%)  
[  5]  79.00-80.00  sec  1.09 MBytes  9.13 Mbits/sec  1.652 ms  0/847 (0%)  
[  5]  80.00-81.00  sec  1.30 MBytes  11.0 Mbits/sec  1.687 ms  0/1015 (0%)  
[  5]  81.00-82.00  sec  1.20 MBytes  10.0 Mbits/sec  1.700 ms  0/930 (0%)  
[  5]  82.00-83.00  sec  1.19 MBytes  9.97 Mbits/sec  1.668 ms  0/925 (0%)  
[  5]  83.00-84.00  sec  1.19 MBytes  9.95 Mbits/sec  1.738 ms  0/923 (0%)  
[  5]  84.00-85.00  sec  1.18 MBytes  9.89 Mbits/sec  1.158 ms  0/917 (0%)  
[  5]  85.00-86.00  sec  1.21 MBytes  10.1 Mbits/sec  1.697 ms  0/939 (0%)  
[  5]  86.00-87.00  sec  1.20 MBytes  10.1 Mbits/sec  1.481 ms  0/933 (0%)  
[  5]  87.00-88.00  sec  1.19 MBytes  10.0 Mbits/sec  1.659 ms  0/927 (0%)  
[  5]  88.00-89.00  sec  1.19 MBytes  10.0 Mbits/sec  1.635 ms  0/927 (0%)  
[  5]  89.00-90.00  sec  1.19 MBytes  10.0 Mbits/sec  1.582 ms  0/928 (0%)  
[  5]  90.00-91.00  sec  1.19 MBytes  10.0 Mbits/sec  1.184 ms  0/927 (0%)  
[  5]  91.00-92.00  sec  1.19 MBytes  9.98 Mbits/sec  1.639 ms  0/925 (0%)  
[  5]  92.00-93.00  sec  1.18 MBytes  9.92 Mbits/sec  2.076 ms  0/920 (0%)  
[  5]  93.00-94.00  sec  1.21 MBytes  10.1 Mbits/sec  1.638 ms  0/939 (0%)  
[  5]  94.00-95.00  sec  1.19 MBytes  10.0 Mbits/sec  1.550 ms  0/927 (0%)  
[  5]  95.00-96.00  sec  1.18 MBytes  9.93 Mbits/sec  1.526 ms  0/921 (0%)  
[  5]  96.00-97.00  sec  1.20 MBytes  10.1 Mbits/sec  1.617 ms  0/932 (0%)  
[  5]  97.00-98.00  sec  1.15 MBytes  9.61 Mbits/sec  1.714 ms  0/892 (0%)  
[  5]  98.00-98.22  sec   309 KBytes  11.3 Mbits/sec  2.000 ms  0/235 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-98.22  sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  sender
[  5]   0.00-98.22  sec   117 MBytes  10.0 Mbits/sec  2.000 ms  42/91137 (0.046%)  receiver
