Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
155	15.56	0.88	155499	44	92.89
155	15.58	0.88	154747	44	92.73
155	15.52	0.87	155232	44	92.56
154	15.42	0.88	154980	44	92.62
153	15.34	0.88	154454	44	92.62
155	15.50	0.88	154890	44	92.63
154	15.43	0.88	155055	44	92.62
159	15.94	0.89	154085	45	92.69
167	16.78	0.87	154764	44	92.97
177	17.77	0.86	156456	45	93.01
177	17.73	0.86	156441	44	92.93
160	16.01	0.88	151666	44	92.60
150	15.08	0.90	143913	44	92.58
147	14.70	0.90	142922	45	92.54
149	14.89	0.89	143560	44	92.61
146	14.67	0.90	142690	44	92.51
146	14.67	0.90	142488	45	92.47
146	14.62	0.90	142850	44	92.57
153	15.30	0.91	143061	44	92.76
152	15.27	0.89	141860	45	92.67
171	17.13	0.88	144214	44	93.30
170	17.04	0.88	144390	44	93.05
162	16.18	0.89	145051	44	93.00
153	15.38	0.89	144798	44	92.74
147	14.71	0.90	143130	44	92.60
146	14.68	0.90	142231	44	92.69
146	14.68	0.90	142578	45	92.53
146	14.64	0.89	142376	44	92.57
147	14.69	0.90	142864	44	92.61
151	15.12	0.90	142978	44	92.75
149	14.91	0.90	142041	44	92.64
168	16.85	0.88	143091	44	93.04
170	17.06	0.88	144785	44	93.05
166	16.67	0.89	144742	44	93.12
154	15.49	0.89	144744	44	92.77
148	14.88	0.89	142749	45	92.64
146	14.65	0.90	142637	44	92.63
147	14.68	0.90	142094	44	92.65
146	14.66	0.89	142814	44	92.52
146	14.69	0.89	142846	45	92.50
146	14.64	0.90	142747	44	92.59
153	15.33	0.91	142231	44	92.70
160	16.00	0.89	142946	45	92.95
169	16.98	0.88	144640	44	93.12
170	17.02	0.88	145053	44	93.42
156	15.60	0.90	144536	44	92.72
150	15.05	0.90	143694	44	92.60
147	14.71	0.90	142834	44	92.72
146	14.67	0.90	142922	44	92.69
146	14.65	0.90	142459	44	92.66
146	14.64	0.90	142531	44	92.54
147	14.74	0.90	142898	45	92.65
153	15.32	0.91	142596	44	92.82
152	15.23	0.89	141399	44	92.70
170	17.03	0.88	144212	44	93.48
169	16.97	0.88	144437	44	93.05
167	16.76	0.89	145074	44	93.10
154	15.41	0.89	143931	44	92.73
149	14.96	0.90	143392	44	92.48
147	14.71	0.89	142937	44	92.71
146	14.66	0.90	143228	44	92.56
146	14.67	0.90	142938	44	92.59
146	14.63	0.90	143201	44	92.65
146	14.67	0.89	142747	44	92.40
153	15.30	0.91	142490	44	92.72
157	15.78	0.89	142260	44	92.98
170	17.01	0.88	144609	44	93.22
170	17.06	0.88	144743	44	92.96
162	16.23	0.89	145022	44	92.96
153	15.38	0.90	144583	44	92.72
146	14.68	0.90	142954	44	92.62
146	14.62	0.90	142830	44	92.54
