Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
169	16.98	0.92	174061	45	94.56
163	16.38	0.93	174281	45	94.42
154	15.46	0.94	173735	45	93.85
147	14.75	0.94	172567	45	93.55
146	14.62	0.95	172201	45	93.40
146	14.64	0.95	171738	45	93.52
146	14.64	0.95	172069	45	93.55
146	14.66	0.95	171837	45	93.49
147	14.75	0.95	171840	45	93.46
153	15.30	0.96	171763	45	93.76
163	16.37	0.93	173525	45	94.22
170	17.00	0.92	174153	45	94.65
168	16.82	0.92	173635	45	94.42
154	15.49	0.94	173430	45	93.80
149	14.96	0.94	170523	45	93.60
146	14.63	0.95	171395	45	93.64
146	14.65	0.95	172113	45	93.38
146	14.64	0.95	172106	45	93.57
146	14.66	0.95	172234	45	93.57
146	14.62	0.95	172235	45	93.28
153	15.33	0.96	172954	45	94.01
158	15.83	0.93	172940	45	93.95
171	17.10	0.92	174576	46	94.60
169	16.96	0.93	174424	45	94.41
156	15.58	0.94	173980	45	94.07
150	15.07	0.95	172921	45	93.64
146	14.63	0.95	171558	45	93.47
146	14.61	0.96	172021	45	93.50
147	14.76	0.94	170165	45	93.49
146	14.68	0.94	172086	45	93.58
147	14.69	0.95	172272	45	93.49
153	15.35	0.96	172109	45	93.80
153	15.34	0.94	171292	46	93.72
169	16.90	0.93	175046	45	94.52
168	16.89	0.92	172580	45	94.40
161	16.11	0.93	173540	45	94.23
154	15.39	0.94	171942	45	93.89
147	14.77	0.95	172991	45	92.90
147	14.78	0.94	174215	45	92.96
148	14.86	0.94	172884	45	92.74
149	14.88	0.94	173591	45	93.02
149	14.95	0.93	172176	45	92.54
146	14.64	0.96	172554	45	92.87
147	14.70	0.96	172328	45	92.80
174	17.39	0.90	173148	45	93.74
172	17.24	0.90	173996	45	93.50
170	17.00	0.88	172496	45	93.80
155	15.56	0.89	172268	45	93.08
154	15.40	0.89	170620	45	92.88
146	14.66	0.91	172057	46	92.74
146	14.63	0.91	172067	45	92.84
146	14.68	0.91	171798	45	92.87
147	14.71	0.91	172293	45	92.90
146	14.69	0.90	170947	45	92.79
154	15.41	0.92	172361	45	93.19
174	17.39	0.89	175338	45	94.11
173	17.31	0.89	174422	46	93.93
177	17.75	0.88	174834	45	94.00
173	17.37	0.89	174579	45	94.00
171	17.14	0.88	174498	45	93.82
159	15.96	0.89	172656	45	92.81
152	15.26	0.90	172787	45	92.94
149	14.90	0.91	172184	45	92.82
149	14.91	0.91	172330	45	92.85
149	14.98	0.91	172213	45	92.78
148	14.85	0.91	172079	45	92.84
149	14.95	0.91	171643	45	92.78
160	16.06	0.91	171532	45	92.72
161	14.53	0.88	176750	47	95.18
245	8.88	0.77	228170	49	113.49
227	8.26	0.78	227756	46	112.56
191	7.02	0.82	227692	46	110.53
180	6.65	0.84	227237	46	110.14
180	6.64	0.83	227599	46	110.05
180	6.64	0.84	227261	46	109.80
178	6.59	0.84	227167	46	109.73
181	6.66	0.84	227431	46	110.02
192	7.05	0.84	227609	46	110.35
169	16.92	0.86	173322	45	92.46
169	16.96	0.87	172709	45	92.35
168	16.81	0.87	172698	45	92.38
168	16.88	0.86	172368	45	92.47
168	16.85	0.86	172063	46	92.52
169	16.95	0.86	171042	45	92.66
170	17.06	0.86	171570	45	92.02
170	17.06	0.86	171893	45	92.07
170	17.01	0.87	173049	45	92.23
159	15.92	0.89	172876	45	92.65
154	15.47	0.90	172457	45	92.74
149	14.91	0.92	171949	45	92.70
150	14.97	0.91	171969	45	92.94
149	14.93	0.90	169960	45	92.79
149	14.90	0.90	170121	45	92.75
151	15.14	0.91	170734	45	92.87
125	12.57	0.77	182885	45	91.69
139	13.94	0.69	185226	45	92.15
138	13.81	0.69	184794	45	92.07
113	11.36	0.72	184736	45	91.13
114	11.40	0.73	185882	45	91.27
113	11.37	0.73	185427	45	91.15
114	11.42	0.73	89222	45	91.36
