Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
133	13.30	0.73	185915	45	90.98
133	13.33	0.73	185394	45	90.93
133	13.30	0.73	185578	45	90.96
133	13.28	0.73	185647	45	90.98
132	13.22	0.74	185773	45	91.00
136	13.71	0.73	185393	45	90.35
162	16.21	0.71	185318	45	92.61
149	14.89	0.68	180673	45	91.52
119	11.78	0.71	183526	45	91.87
108	10.87	0.73	175503	45	90.94
109	10.86	0.74	186707	45	91.37
113	11.14	0.74	186494	45	91.54
109	10.73	0.74	186781	45	91.45
131	13.13	0.74	188459	45	92.08
131	13.16	0.74	188483	45	92.06
129	12.92	0.74	188241	45	91.73
117	11.68	0.73	187885	45	91.37
110	11.02	0.73	186599	45	91.04
108	10.81	0.73	186107	45	90.83
107	10.75	0.73	185975	45	90.96
111	11.12	0.73	185959	45	91.02
108	10.82	0.73	186145	45	90.99
108	10.79	0.73	185897	45	90.95
115	11.51	0.76	186619	45	91.13
135	13.52	0.73	188484	45	92.33
134	13.48	0.73	188383	45	91.89
135	13.48	0.74	188224	45	91.86
134	13.43	0.74	188176	45	91.97
124	12.38	0.74	187825	45	91.40
119	11.95	0.73	186921	45	91.14
111	11.11	0.73	185489	45	90.98
111	11.09	0.73	185672	45	90.92
110	11.06	0.73	185832	45	90.83
110	11.07	0.73	185866	45	90.90
110	11.06	0.73	186052	45	91.02
117	11.75	0.76	186383	45	91.34
138	13.86	0.73	187644	45	92.26
140	13.99	0.74	187884	45	92.29
137	13.69	0.74	188136	45	92.06
136	13.66	0.74	187723	45	92.07
137	13.74	0.74	188245	45	92.16
136	13.60	0.74	187506	45	91.91
121	12.08	0.73	187241	45	91.18
115	11.49	0.73	186299	45	90.79
112	11.27	0.73	184723	45	90.75
124	12.47	0.79	176867	45	91.55
130	13.05	0.83	174011	45	91.95
130	13.06	0.82	173869	45	92.03
129	12.96	0.82	173505	45	91.92
137	13.73	0.84	173692	45	92.25
159	15.93	0.82	175679	45	93.19
158	15.84	0.82	175209	45	92.93
159	15.96	0.81	173774	45	92.77
159	15.94	0.81	175091	45	92.78
159	15.91	0.82	175678	45	92.96
159	15.96	0.81	174246	45	93.02
160	16.03	0.81	174825	45	92.98
146	14.63	0.80	171731	45	92.40
138	13.82	0.81	172039	45	92.02
134	13.48	0.82	170908	45	91.93
134	13.46	0.82	172152	45	92.00
134	13.40	0.82	172604	45	91.92
134	13.43	0.82	172571	45	91.91
133	13.36	0.83	173601	45	91.92
144	14.40	0.83	173304	45	92.19
162	16.29	0.78	168830	45	92.99
161	16.12	0.78	169738	45	93.25
161	16.10	0.79	170838	45	93.14
161	16.10	0.79	170984	45	93.09
161	16.13	0.78	171358	45	93.15
161	16.14	0.78	169755	45	93.14
161	16.16	0.78	169401	45	93.16
161	16.12	0.78	168972	45	92.85
161	16.10	0.78	169604	45	93.29
162	16.24	0.78	168820	45	93.08
162	16.19	0.78	169389	45	93.22
153	15.37	0.79	169638	45	93.02
145	14.50	0.81	169572	45	92.74
136	13.67	0.82	169588	45	92.56
137	13.70	0.82	168844	45	92.55
136	13.67	0.82	168960	45	92.52
137	13.68	0.82	169128	45	92.51
136	13.62	0.82	169427	45	92.61
143	14.34	0.83	170903	45	92.81
140	14.04	0.83	169456	45	92.67
165	16.49	0.78	171047	45	93.39
164	16.46	0.78	169882	45	93.33
165	16.58	0.78	169846	45	93.23
165	16.58	0.78	169291	45	93.24
165	16.56	0.78	169229	45	93.30
165	16.56	0.77	168407	45	93.12
165	16.52	0.78	169806	45	93.29
164	16.45	0.78	169523	45	93.26
165	16.52	0.78	169357	45	93.22
164	16.47	0.79	171383	45	93.29
164	16.44	0.78	171634	45	93.32
164	16.45	0.78	171193	45	93.25
154	15.39	0.81	171679	45	92.91
157	15.69	0.91	168920	45	93.01
150	15.05	0.93	168576	45	93.05
150	15.08	0.94	168243	45	92.91
150	15.07	0.94	167846	45	92.75
125	12.47	0.72	183967	45	91.92
120	12.02	0.69	185432	45	91.51
131	13.17	0.70	185018	45	91.69
154	15.42	0.65	184366	45	91.48
152	15.23	0.65	184028	45	91.50
153	15.32	0.65	184289	45	91.44
152	15.25	0.65	183973	45	91.39
152	15.25	0.65	184146	45	91.37
152	15.25	0.65	184157	45	91.55
153	15.29	0.65	184284	45	91.56
152	15.25	0.65	183948	45	91.41
153	15.35	0.66	182364	45	91.50
152	15.23	0.65	183997	45	91.48
152	15.23	0.65	184140	45	91.44
152	15.23	0.65	184003	45	91.36
152	15.27	0.65	183047	45	91.38
139	13.89	0.66	184954	45	91.20
130	13.06	0.67	185188	45	90.94
125	12.56	0.67	185190	45	90.81
125	12.50	0.68	185339	45	90.86
125	12.57	0.68	185157	45	90.88
127	12.76	0.68	183985	45	90.90
126	12.68	0.67	185383	45	90.87
137	13.72	0.68	185320	45	91.03
158	15.84	0.64	184289	45	91.56
157	15.69	0.64	183813	45	91.59
156	15.65	0.65	183836	45	91.50
156	15.68	0.65	183713	45	91.57
156	15.65	0.65	183745	45	91.51
156	15.64	0.65	183675	45	91.49
157	15.77	0.66	181945	45	91.64
157	15.69	0.65	183461	45	91.49
156	15.65	0.65	182945	45	91.50
156	15.68	0.65	183767	45	91.46
156	15.68	0.65	183755	45	91.49
156	15.66	0.65	183599	45	91.45
156	15.63	0.65	183712	45	91.41
156	15.62	0.65	183623	45	91.32
144	14.45	0.66	184524	45	91.33
135	13.55	0.67	184595	45	90.89
130	12.99	0.68	183506	44	90.91
129	12.96	0.67	183841	45	90.90
130	13.04	0.67	183792	45	90.90
150	15.05	0.81	170471	45	91.77
151	15.11	0.81	169206	45	91.97
148	14.84	0.75	176652	45	91.51
163	16.34	0.68	181095	45	91.51
162	16.21	0.67	181115	45	91.76
161	16.19	0.67	180392	45	91.46
161	16.16	0.68	180306	45	91.50
162	16.22	0.68	180206	45	91.54
161	16.17	0.68	180336	45	91.42
161	16.13	0.67	180738	45	91.50
161	16.13	0.67	180513	45	91.55
162	16.20	0.67	180487	45	91.48
161	16.13	0.68	180465	45	91.38
163	16.28	0.67	50670	45	92.13
