Avg_MHz Busy%   IPC     IRQ     PkgTmp  PkgWatt
113     10.99   0.62    157363  45      91.66
113     10.97   0.62    156398  45      91.52
113     11.00   0.62    156239  45      91.33
113     10.97   0.62    156228  45      91.35
113     10.96   0.62    156530  45      91.55
113     10.98   0.62    155824  45      91.29
113     11.00   0.62    156100  45      91.35
117     11.36   0.63    156026  45      91.45
120     11.73   0.65    156731  45      91.88
140     14.01   0.65    158522  45      92.47
138     13.89   0.65    157606  45      91.69
139     13.92   0.65    158264  45      92.04
133     13.34   0.65    157873  45      92.31
124     12.41   0.65    156432  45      91.57
150     15.09   0.87    149073  45      92.64
151     15.11   0.90    148010  45      92.89
150     15.09   0.89    148195  45      92.62
151     15.14   0.90    148725  45      92.98
150     15.07   0.90    148562  45      92.70
151     15.20   0.90    149082  45      92.76
156     15.65   0.91    149161  45      93.28
230     11.82   0.78    184375  46      110.76
215     7.53    0.82    213784  46      115.33
186     6.68    0.83    219034  46      111.28
182     6.56    0.83    218583  47      110.97
182     6.56    0.82    218160  47      110.97
182     6.54    0.83    218162  47      110.86
180     6.49    0.84    218513  46      110.86
182     6.57    0.85    218343  46      111.04
189     6.73    0.86    218886  47      112.08
174     17.47   0.88    152220  45      94.11
174     17.39   0.88    151176  45      94.59
172     17.31   0.88    150997  46      93.86
158     15.83   0.89    150762  45      93.21
150     15.01   0.90    150090  45      92.94
149     14.96   0.89    148502  46      93.06
150     15.05   0.90    145594  46      92.79
151     15.10   0.89    149041  45      93.00
150     15.09   0.89    148728  45      92.69
149     14.98   0.90    145010  46      92.76
158     15.80   0.91    146839  45      93.26
205     12.68   0.83    179615  47      106.07
217     7.54    0.82    221655  47      116.44
184     6.63    0.84    219933  47      111.72
181     6.52    0.85    219500  47      111.68
182     6.55    0.84    218859  47      111.12
181     6.51    0.84    219005  47      111.26
182     6.54    0.84    219405  47      111.21
181     6.54    0.84    219586  47      111.26
190     6.81    0.85    219738  48      111.98
171     17.12   0.88    158310  45      94.24
139     13.94   0.65    158870  46      92.53
138     13.83   0.65    158834  45      92.29
123     12.33   0.63    158472  46      91.59
117     11.73   0.62    157309  46      91.11
115     11.50   0.62    156346  46      90.88
114     11.44   0.62    156914  46      91.07
114     11.41   0.62    156453  46      90.77
114     11.49   0.63    156505  46      90.63
114     11.37   0.62    157489  46      91.58
121     12.10   0.66    156888  46      91.39
141     14.08   0.66    159473  46      92.75
140     14.06   0.65    158822  46      92.59
141     14.12   0.65    158739  45      92.32
141     14.12   0.65    158801  46      92.46
141     14.12   0.65    159155  45      92.50
128     12.89   0.64    158812  46      90.96
122     12.14   0.63    159305  46      91.89
116     11.66   0.62    157252  46      91.11
116     11.66   0.62    157104  45      91.05
116     11.65   0.62    157022  46      91.10
116     11.67   0.62    156668  46      90.75
117     11.71   0.63    156062  45      91.20
123     12.36   0.66    157113  45      91.32
142     14.23   0.66    158992  45      92.00
142     14.19   0.65    159458  46      92.67
143     14.26   0.66    158759  46      92.41
141     14.20   0.65    158784  46      91.98
142     14.22   0.65    159551  46      92.43
142     14.21   0.65    158874  45      91.89
126     12.60   0.65    158286  46      91.66
117     11.75   0.63    156322  45      90.50
118     11.75   0.63    157675  45      91.41
119     11.88   0.62    121515  45      91.01
