Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
230	8.33	0.83	646536	45	387.04
144	14.39	0.87	148652	45	92.71
144	14.43	0.87	149614	45	92.77
143	14.32	0.87	149169	45	92.50
143	14.38	0.87	149475	45	92.56
143	14.36	0.88	150203	45	92.73
155	15.54	0.87	151055	45	93.29
159	15.94	0.88	151478	45	93.06
144	14.39	0.89	150135	45	92.70
144	14.48	0.89	149507	45	92.50
144	14.44	0.88	150004	45	92.69
143	14.28	0.87	149886	45	92.77
143	14.38	0.88	149302	45	92.40
144	14.48	0.89	149712	45	92.45
145	14.52	0.89	150020	45	92.74
147	14.76	0.90	149887	45	92.93
146	14.64	0.90	150060	45	92.77
145	14.54	0.90	149784	45	92.83
171	17.08	0.87	151625	45	93.93
169	16.92	0.87	149121	45	93.96
171	17.15	0.87	152338	45	93.60
154	15.39	0.88	151672	45	93.30
149	14.94	0.88	150736	45	92.69
144	14.38	0.90	144394	45	92.90
147	14.69	0.90	150006	45	93.02
143	14.33	0.91	141403	45	92.52
147	14.74	0.90	149645	45	92.67
147	14.69	0.91	148781	45	92.94
152	15.30	0.91	149790	45	92.84
175	17.54	0.87	150442	45	93.98
175	17.51	0.87	150514	45	94.08
173	17.36	0.87	151844	45	93.67
173	17.30	0.88	152187	45	94.11
173	17.33	0.88	151608	45	93.82
162	16.25	0.89	151374	45	93.26
156	15.58	0.89	151462	45	93.32
148	14.92	0.91	143307	45	92.25
152	15.13	0.89	151647	45	93.39
152	15.18	0.89	150254	45	92.88
152	15.25	0.89	149746	45	93.02
153	15.30	0.89	149715	45	92.96
159	15.96	0.90	148881	45	93.32
177	17.72	0.89	152074	45	94.35
176	17.61	0.90	152261	45	94.19
176	17.60	0.89	151785	45	94.16
176	17.62	0.89	151341	45	94.10
175	17.58	0.89	151079	45	93.98
176	17.69	0.89	151213	45	93.91
165	16.59	0.90	149480	45	93.44
158	15.84	0.90	148530	45	93.13
150	15.04	0.92	143083	45	92.79
148	14.80	0.93	138784	45	92.58
153	15.35	0.90	147665	45	92.81
155	15.53	0.90	147122	45	92.79
155	15.50	0.91	147795	45	92.96
162	16.21	0.92	147310	45	93.06
183	18.30	0.89	151084	45	93.87
183	18.27	0.89	152040	45	93.84
182	18.26	0.88	151328	45	93.70
183	18.35	0.89	151627	45	93.84
181	18.15	0.89	151636	45	93.98
181	18.14	0.89	151068	45	93.64
182	18.19	0.89	151747	45	93.93
173	17.33	0.89	151368	45	93.44
163	16.34	0.90	150909	45	93.15
156	15.64	0.91	149528	45	92.95
154	15.50	0.90	149011	45	92.46
156	15.61	0.89	147782	45	92.67
157	15.72	0.89	146428	45	92.92
157	15.71	0.89	147715	45	92.78
164	16.43	0.90	147834	45	93.07
157	15.76	0.91	149143	45	92.64
274	10.89	0.77	206262	46	118.26
274	9.29	0.80	221221	46	121.57
224	7.91	0.83	220380	46	114.62
193	7.04	0.85	218753	46	110.47
190	6.94	0.85	218222	46	109.75
190	6.94	0.85	217958	47	109.90
190	6.94	0.85	218333	47	109.44
190	6.82	0.85	218033	47	106.75
191	6.85	0.85	218282	47	106.75
201	7.15	0.85	217359	47	108.05
180	18.07	0.90	154897	45	93.48
180	18.06	0.90	155147	45	93.76
182	18.28	0.89	154037	45	93.89
183	18.35	0.89	154234	45	93.70
183	18.32	0.90	156832	45	93.64
153	15.32	0.75	165039	45	92.63
140	14.00	0.70	169655	45	91.90
124	12.47	0.70	168949	45	91.59
119	11.94	0.68	116568	45	90.85
