Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
162	16.22	0.86	174325	46	93.41
150	15.04	0.87	172790	46	92.92
144	14.43	0.87	172065	46	92.67
139	13.94	0.87	171069	46	92.74
139	13.98	0.88	169861	46	92.51
138	13.84	0.88	170952	46	92.61
138	13.84	0.87	170867	46	92.48
140	14.04	0.87	168352	46	92.72
146	14.67	0.89	169496	46	92.74
167	16.71	0.85	168610	46	93.35
167	16.71	0.86	168842	46	93.16
166	16.65	0.86	168982	46	93.17
166	16.62	0.86	168595	46	92.99
167	16.73	0.86	168775	46	93.39
158	15.86	0.86	167617	46	93.00
150	15.03	0.86	166752	46	92.83
143	14.32	0.87	166804	46	92.57
143	14.31	0.86	165911	46	92.52
146	14.58	0.87	166892	46	92.63
142	14.23	0.87	167048	46	92.46
141	14.17	0.87	167764	46	92.44
143	14.28	0.88	167508	45	92.69
149	14.93	0.87	168277	46	92.68
152	15.22	0.84	155349	46	92.70
152	15.21	0.83	153211	46	92.69
150	15.08	0.83	154164	46	92.55
152	15.23	0.82	153723	46	92.61
150	15.01	0.82	155583	46	92.71
149	14.97	0.83	154565	46	92.43
149	14.97	0.83	154447	46	92.59
150	15.00	0.84	154349	45	92.58
149	14.96	0.83	154683	45	92.63
148	14.84	0.82	154698	45	92.52
148	14.86	0.83	155035	45	92.51
148	14.89	0.83	155006	45	92.54
149	14.90	0.82	155486	46	92.57
149	14.99	0.83	155051	45	92.50
149	14.89	0.82	154108	46	92.69
149	14.92	0.83	155100	45	92.40
149	14.88	0.82	155413	45	92.66
148	14.87	0.82	154771	46	92.41
149	14.99	0.82	155376	45	92.47
149	14.89	0.82	155595	45	92.54
148	14.85	0.83	155013	45	92.48
149	14.91	0.83	154771	45	92.39
149	14.90	0.83	155102	45	92.57
148	14.84	0.82	154392	45	92.52
149	14.93	0.82	154654	45	92.45
149	14.94	0.83	154660	46	92.46
148	14.81	0.82	154901	45	92.49
150	15.04	0.82	155541	45	92.42
148	14.80	0.82	155592	45	92.44
148	14.80	0.82	154681	45	92.41
150	15.01	0.84	154410	45	92.50
152	15.26	0.83	154265	45	92.61
150	15.00	0.82	153170	45	92.38
151	15.18	0.84	154751	45	92.57
149	14.92	0.84	154102	45	92.41
149	14.94	0.84	155055	45	92.59
149	14.92	0.83	155303	45	92.44
150	15.05	0.83	153633	45	92.58
150	15.06	0.84	153888	45	92.51
152	15.24	0.84	155403	45	92.68
151	15.17	0.84	155559	45	92.66
150	15.02	0.84	153511	45	92.45
150	15.01	0.84	153608	45	92.68
150	15.05	0.84	153657	45	92.54
148	14.81	0.86	151061	45	92.60
142	14.28	0.87	143358	45	92.40
146	14.66	0.86	148529	45	92.43
143	14.30	0.87	142679	45	92.48
149	14.95	0.84	153886	45	92.49
150	15.01	0.84	155176	45	92.59
151	15.16	0.84	155029	45	92.66
151	15.14	0.84	154974	45	92.69
152	15.27	0.84	155245	45	92.82
151	15.15	0.82	155304	45	92.52
152	15.23	0.81	153301	45	92.74
152	15.21	0.81	152869	46	92.56
151	15.15	0.80	153397	45	92.55
151	15.13	0.81	153529	45	92.61
151	15.09	0.80	153238	45	92.68
151	15.18	0.81	152583	45	92.47
150	15.05	0.82	153351	45	92.61
151	15.09	0.83	152807	45	92.50
150	15.06	0.82	151967	45	92.40
149	14.90	0.82	153395	45	92.39
148	14.87	0.83	154660	45	92.40
148	14.84	0.83	155059	45	92.44
150	14.99	0.83	155485	45	92.57
148	14.89	0.81	153790	45	92.41
149	14.93	0.82	154712	45	92.34
149	14.90	0.82	154858	45	92.44
150	15.08	0.82	154125	45	92.33
151	15.10	0.82	155097	45	92.59
152	15.18	0.83	155133	45	92.66
149	14.94	0.82	155043	45	92.47
149	14.94	0.83	155289	45	92.35
150	15.00	0.83	153668	45	92.58
149	14.88	0.83	154632	45	92.46
147	14.79	0.82	155207	45	92.38
148	14.87	0.83	155006	45	92.43
147	14.77	0.82	154685	45	92.25
148	14.84	0.82	154727	45	92.47
149	14.92	0.83	154383	45	92.45
148	14.88	0.82	155057	45	92.44
149	14.90	0.82	155025	44	92.51
149	14.88	0.82	154818	45	92.52
149	14.95	0.82	154192	45	92.41
130	13.00	0.70	161581	45	91.44
122	12.21	0.63	163935	45	90.88
121	12.15	0.63	164381	45	90.88
122	12.18	0.63	163964	45	90.87
122	12.20	0.63	163957	45	90.79
123	12.31	0.63	163887	45	90.84
122	12.22	0.63	163909	45	90.69
121	12.17	0.63	164342	45	90.82
122	12.18	0.63	163610	45	90.74
122	12.24	0.63	163455	45	90.74
122	12.24	0.63	163622	45	90.67
122	12.23	0.63	163720	45	90.73
122	12.20	0.63	163669	45	90.83
119	11.93	0.63	157939	45	90.74
114	11.45	0.64	152484	45	90.68
115	11.48	0.64	152138	45	90.65
114	11.46	0.64	152255	45	90.62
114	11.46	0.64	152216	45	90.63
114	11.46	0.64	152434	45	90.63
114	11.46	0.64	152424	45	90.74
114	11.47	0.64	152175	45	90.67
115	11.53	0.64	150249	45	90.87
115	11.54	0.64	149753	45	90.77
115	11.55	0.63	149831	45	90.89
115	11.53	0.64	149567	45	90.77
115	11.56	0.64	149800	45	90.86
115	11.53	0.63	149865	45	90.78
115	11.52	0.64	147798	45	90.80
